blind_candidate_id,system_id,source_path,source_index
blind-0087,direct,data\gaps\baseline_simple_llm.json,68
blind-0088,direct,data\gaps\baseline_simple_llm.json,40
blind-0089,direct,data\gaps\baseline_simple_llm.json,240
blind-0090,direct,data\gaps\baseline_simple_llm.json,224
blind-0091,direct,data\gaps\baseline_simple_llm.json,208
blind-0092,direct,data\gaps\baseline_simple_llm.json,5
blind-0093,direct,data\gaps\baseline_simple_llm.json,4
blind-0094,direct,data\gaps\baseline_simple_llm.json,295
blind-0095,direct,data\gaps\baseline_simple_llm.json,227
blind-0096,direct,data\gaps\baseline_simple_llm.json,65
blind-0097,direct,data\gaps\baseline_simple_llm.json,119
blind-0098,direct,data\gaps\baseline_simple_llm.json,62
blind-0099,direct,data\gaps\baseline_simple_llm.json,135
blind-0100,direct,data\gaps\baseline_simple_llm.json,30
blind-0101,direct,data\gaps\baseline_simple_llm.json,233
blind-0102,direct,data\gaps\baseline_simple_llm.json,13
blind-0103,direct,data\gaps\baseline_simple_llm.json,21
blind-0104,direct,data\gaps\baseline_simple_llm.json,34
blind-0105,direct,data\gaps\baseline_simple_llm.json,39
blind-0106,direct,data\gaps\baseline_simple_llm.json,47
blind-0107,direct,data\gaps\baseline_simple_llm.json,133
blind-0108,direct,data\gaps\baseline_simple_llm.json,175
blind-0109,direct,data\gaps\baseline_simple_llm.json,294
blind-0110,direct,data\gaps\baseline_simple_llm.json,296
blind-0111,direct,data\gaps\baseline_simple_llm.json,28
blind-0112,direct,data\gaps\baseline_simple_llm.json,153
blind-0113,direct,data\gaps\baseline_simple_llm.json,241
blind-0114,direct,data\gaps\baseline_simple_llm.json,261
blind-0115,direct,data\gaps\baseline_simple_llm.json,275
blind-0116,direct,data\gaps\baseline_simple_llm.json,298
blind-0117,direct,data\gaps\baseline_simple_llm.json,276
blind-0118,direct,data\gaps\baseline_simple_llm.json,161
blind-0119,direct,data\gaps\baseline_simple_llm.json,157
blind-0120,direct,data\gaps\baseline_simple_llm.json,277
blind-0121,direct,data\gaps\baseline_simple_llm.json,253
blind-0122,direct,data\gaps\baseline_simple_llm.json,249
blind-0123,direct,data\gaps\baseline_simple_llm.json,134
blind-0124,direct,data\gaps\baseline_simple_llm.json,75
blind-0125,direct,data\gaps\baseline_simple_llm.json,128
blind-0126,direct,data\gaps\baseline_simple_llm.json,165
blind-0127,direct,data\gaps\baseline_simple_llm.json,67
blind-0128,direct,data\gaps\baseline_simple_llm.json,89
blind-0129,direct,data\gaps\baseline_simple_llm.json,163
blind-0130,direct,data\gaps\baseline_simple_llm.json,204
blind-0131,direct,data\gaps\baseline_simple_llm.json,112
blind-0132,direct,data\gaps\baseline_simple_llm.json,270
blind-0133,direct,data\gaps\baseline_simple_llm.json,212
blind-0134,kgtabi,data\gaps\kgtabi_gaps.json,6
blind-0135,direct,data\gaps\baseline_simple_llm.json,226
blind-0136,direct,data\gaps\baseline_simple_llm.json,272
blind-0137,direct,data\gaps\baseline_simple_llm.json,205
blind-0138,direct,data\gaps\baseline_simple_llm.json,104
blind-0139,direct,data\gaps\baseline_simple_llm.json,149
blind-0140,direct,data\gaps\baseline_simple_llm.json,88
blind-0141,direct,data\gaps\baseline_simple_llm.json,19
blind-0142,direct,data\gaps\baseline_simple_llm.json,280
blind-0143,direct,data\gaps\baseline_simple_llm.json,111
blind-0144,direct,data\gaps\baseline_simple_llm.json,131
blind-0145,direct,data\gaps\baseline_simple_llm.json,95
blind-0146,direct,data\gaps\baseline_simple_llm.json,189
blind-0147,direct,data\gaps\baseline_simple_llm.json,286
blind-0148,direct,data\gaps\baseline_simple_llm.json,142
blind-0149,direct,data\gaps\baseline_simple_llm.json,35
blind-0150,direct,data\gaps\baseline_simple_llm.json,167
blind-0151,direct,data\gaps\baseline_simple_llm.json,155
blind-0152,direct,data\gaps\baseline_simple_llm.json,138
blind-0153,direct,data\gaps\baseline_simple_llm.json,244
blind-0154,direct,data\gaps\baseline_simple_llm.json,25
blind-0155,direct,data\gaps\baseline_simple_llm.json,126
blind-0156,direct,data\gaps\baseline_simple_llm.json,281
blind-0157,direct,data\gaps\baseline_simple_llm.json,172
blind-0158,kgtabi,data\gaps\kgtabi_gaps.json,2
blind-0159,direct,data\gaps\baseline_simple_llm.json,125
blind-0160,direct,data\gaps\baseline_simple_llm.json,291
blind-0161,direct,data\gaps\baseline_simple_llm.json,258
blind-0162,direct,data\gaps\baseline_simple_llm.json,92
blind-0163,direct,data\gaps\baseline_simple_llm.json,52
blind-0164,direct,data\gaps\baseline_simple_llm.json,293
blind-0165,direct,data\gaps\baseline_simple_llm.json,218
blind-0166,direct,data\gaps\baseline_simple_llm.json,238
blind-0167,direct,data\gaps\baseline_simple_llm.json,248
blind-0168,direct,data\gaps\baseline_simple_llm.json,72
blind-0169,direct,data\gaps\baseline_simple_llm.json,110
blind-0170,direct,data\gaps\baseline_simple_llm.json,252
blind-0171,direct,data\gaps\baseline_simple_llm.json,274
blind-0172,direct,data\gaps\baseline_simple_llm.json,215
blind-0173,direct,data\gaps\baseline_simple_llm.json,145
blind-0174,direct,data\gaps\baseline_simple_llm.json,213
blind-0175,direct,data\gaps\baseline_simple_llm.json,120
blind-0176,direct,data\gaps\baseline_simple_llm.json,160
blind-0177,direct,data\gaps\baseline_simple_llm.json,86
blind-0178,direct,data\gaps\baseline_simple_llm.json,225
blind-0179,direct,data\gaps\baseline_simple_llm.json,254
blind-0180,direct,data\gaps\baseline_simple_llm.json,143
blind-0181,direct,data\gaps\baseline_simple_llm.json,18
blind-0182,direct,data\gaps\baseline_simple_llm.json,27
blind-0183,direct,data\gaps\baseline_simple_llm.json,11
blind-0184,direct,data\gaps\baseline_simple_llm.json,46
blind-0185,direct,data\gaps\baseline_simple_llm.json,59
blind-0186,direct,data\gaps\baseline_simple_llm.json,228
blind-0187,direct,data\gaps\baseline_simple_llm.json,152
blind-0188,direct,data\gaps\baseline_simple_llm.json,214
blind-0189,direct,data\gaps\baseline_simple_llm.json,236
blind-0190,direct,data\gaps\baseline_simple_llm.json,171
blind-0191,direct,data\gaps\baseline_simple_llm.json,115
blind-0192,direct,data\gaps\baseline_simple_llm.json,66
blind-0193,direct,data\gaps\baseline_simple_llm.json,297
blind-0194,direct,data\gaps\baseline_simple_llm.json,100
blind-0195,direct,data\gaps\baseline_simple_llm.json,159
blind-0196,direct,data\gaps\baseline_simple_llm.json,85
blind-0197,direct,data\gaps\baseline_simple_llm.json,41
blind-0198,direct,data\gaps\baseline_simple_llm.json,140
blind-0199,direct,data\gaps\baseline_simple_llm.json,33
blind-0200,direct,data\gaps\baseline_simple_llm.json,263
blind-0201,direct,data\gaps\baseline_simple_llm.json,51
blind-0202,direct,data\gaps\baseline_simple_llm.json,79
blind-0203,direct,data\gaps\baseline_simple_llm.json,181
blind-0204,direct,data\gaps\baseline_simple_llm.json,16
blind-0205,direct,data\gaps\baseline_simple_llm.json,194
blind-0206,kgtabi,data\gaps\kgtabi_gaps.json,5
blind-0207,direct,data\gaps\baseline_simple_llm.json,58
blind-0208,direct,data\gaps\baseline_simple_llm.json,55
blind-0209,direct,data\gaps\baseline_simple_llm.json,257
blind-0210,direct,data\gaps\baseline_simple_llm.json,200
blind-0211,direct,data\gaps\baseline_simple_llm.json,166
blind-0212,direct,data\gaps\baseline_simple_llm.json,184
blind-0213,direct,data\gaps\baseline_simple_llm.json,116
blind-0214,direct,data\gaps\baseline_simple_llm.json,292
blind-0215,direct,data\gaps\baseline_simple_llm.json,103
blind-0216,direct,data\gaps\baseline_simple_llm.json,164
blind-0217,direct,data\gaps\baseline_simple_llm.json,288
blind-0218,direct,data\gaps\baseline_simple_llm.json,118
blind-0219,direct,data\gaps\baseline_simple_llm.json,121
blind-0220,direct,data\gaps\baseline_simple_llm.json,182
blind-0221,direct,data\gaps\baseline_simple_llm.json,260
blind-0222,direct,data\gaps\baseline_simple_llm.json,78
blind-0223,direct,data\gaps\baseline_simple_llm.json,206
blind-0224,direct,data\gaps\baseline_simple_llm.json,273
blind-0225,direct,data\gaps\baseline_simple_llm.json,122
blind-0226,direct,data\gaps\baseline_simple_llm.json,232
blind-0227,direct,data\gaps\baseline_simple_llm.json,136
blind-0228,direct,data\gaps\baseline_simple_llm.json,282
blind-0229,direct,data\gaps\baseline_simple_llm.json,15
blind-0230,direct,data\gaps\baseline_simple_llm.json,269
blind-0231,direct,data\gaps\baseline_simple_llm.json,29
blind-0232,direct,data\gaps\baseline_simple_llm.json,177
blind-0233,direct,data\gaps\baseline_simple_llm.json,96
blind-0234,direct,data\gaps\baseline_simple_llm.json,45
blind-0235,kgtabi,data\gaps\kgtabi_gaps.json,0
blind-0236,direct,data\gaps\baseline_simple_llm.json,70
blind-0237,direct,data\gaps\baseline_simple_llm.json,251
blind-0238,direct,data\gaps\baseline_simple_llm.json,217
blind-0239,direct,data\gaps\baseline_simple_llm.json,82
blind-0240,direct,data\gaps\baseline_simple_llm.json,106
blind-0241,direct,data\gaps\baseline_simple_llm.json,173
blind-0242,direct,data\gaps\baseline_simple_llm.json,123
blind-0243,direct,data\gaps\baseline_simple_llm.json,207
blind-0244,direct,data\gaps\baseline_simple_llm.json,146
blind-0245,direct,data\gaps\baseline_simple_llm.json,7
blind-0246,direct,data\gaps\baseline_simple_llm.json,219
blind-0247,direct,data\gaps\baseline_simple_llm.json,299
blind-0248,direct,data\gaps\baseline_simple_llm.json,31
blind-0249,direct,data\gaps\baseline_simple_llm.json,178
blind-0250,direct,data\gaps\baseline_simple_llm.json,17
blind-0251,direct,data\gaps\baseline_simple_llm.json,91
blind-0252,direct,data\gaps\baseline_simple_llm.json,99
blind-0253,direct,data\gaps\baseline_simple_llm.json,239
blind-0254,direct,data\gaps\baseline_simple_llm.json,158
blind-0255,direct,data\gaps\baseline_simple_llm.json,222
blind-0256,direct,data\gaps\baseline_simple_llm.json,71
blind-0257,direct,data\gaps\baseline_simple_llm.json,87
blind-0258,direct,data\gaps\baseline_simple_llm.json,174
blind-0259,direct,data\gaps\baseline_simple_llm.json,117
blind-0260,direct,data\gaps\baseline_simple_llm.json,284
blind-0261,direct,data\gaps\baseline_simple_llm.json,183
blind-0262,direct,data\gaps\baseline_simple_llm.json,154
blind-0263,direct,data\gaps\baseline_simple_llm.json,101
blind-0264,direct,data\gaps\baseline_simple_llm.json,127
blind-0265,direct,data\gaps\baseline_simple_llm.json,185
blind-0266,direct,data\gaps\baseline_simple_llm.json,237
blind-0267,direct,data\gaps\baseline_simple_llm.json,12
blind-0268,direct,data\gaps\baseline_simple_llm.json,186
blind-0269,direct,data\gaps\baseline_simple_llm.json,54
blind-0270,direct,data\gaps\baseline_simple_llm.json,76
blind-0271,direct,data\gaps\baseline_simple_llm.json,81
blind-0272,direct,data\gaps\baseline_simple_llm.json,74
blind-0273,direct,data\gaps\baseline_simple_llm.json,42
blind-0274,direct,data\gaps\baseline_simple_llm.json,188
blind-0275,direct,data\gaps\baseline_simple_llm.json,283
blind-0276,direct,data\gaps\baseline_simple_llm.json,137
blind-0277,direct,data\gaps\baseline_simple_llm.json,187
blind-0278,direct,data\gaps\baseline_simple_llm.json,9
blind-0279,direct,data\gaps\baseline_simple_llm.json,255
blind-0280,direct,data\gaps\baseline_simple_llm.json,113
blind-0281,direct,data\gaps\baseline_simple_llm.json,250
blind-0282,direct,data\gaps\baseline_simple_llm.json,220
blind-0283,direct,data\gaps\baseline_simple_llm.json,60
blind-0284,direct,data\gaps\baseline_simple_llm.json,267
blind-0285,direct,data\gaps\baseline_simple_llm.json,24
blind-0286,direct,data\gaps\baseline_simple_llm.json,8
blind-0287,kgtabi,data\gaps\kgtabi_gaps.json,8
blind-0288,direct,data\gaps\baseline_simple_llm.json,196
blind-0289,direct,data\gaps\baseline_simple_llm.json,139
blind-0290,direct,data\gaps\baseline_simple_llm.json,69
blind-0291,direct,data\gaps\baseline_simple_llm.json,130
blind-0292,direct,data\gaps\baseline_simple_llm.json,285
blind-0293,direct,data\gaps\baseline_simple_llm.json,190
blind-0294,direct,data\gaps\baseline_simple_llm.json,2
blind-0295,direct,data\gaps\baseline_simple_llm.json,150
blind-0296,direct,data\gaps\baseline_simple_llm.json,170
blind-0297,direct,data\gaps\baseline_simple_llm.json,37
blind-0298,direct,data\gaps\baseline_simple_llm.json,77
blind-0299,direct,data\gaps\baseline_simple_llm.json,48
blind-0300,direct,data\gaps\baseline_simple_llm.json,107
blind-0301,direct,data\gaps\baseline_simple_llm.json,242
blind-0302,direct,data\gaps\baseline_simple_llm.json,43
blind-0303,direct,data\gaps\baseline_simple_llm.json,162
blind-0304,kgtabi,data\gaps\kgtabi_gaps.json,3
blind-0305,direct,data\gaps\baseline_simple_llm.json,202
blind-0306,direct,data\gaps\baseline_simple_llm.json,151
blind-0307,direct,data\gaps\baseline_simple_llm.json,156
blind-0308,direct,data\gaps\baseline_simple_llm.json,176
blind-0309,direct,data\gaps\baseline_simple_llm.json,180
blind-0310,direct,data\gaps\baseline_simple_llm.json,73
