item_id,legacy_triple_index,subject,subject_type,relation,object,object_type,publication_year,model_reported_extraction_score,evidence_quote,provenance_recovery_status,paper_id,chunk_index,source_title,source_modality,source_chunk_text,subject_correct,object_correct,relation_correct,entity_types_correct,evidence_quote_supports_triple,source_metadata_correct,triple_specific_enough,reviewer_id,comments
triple-011,737,Spring Security,TOOL,COMBINES,JWT,TOOL,2020,0.95,When used in combination with OAuth2 and JWT,unique_normalized_exact_quote_match,f5ab88e5f1e08dc931c4f7a8693275c93d82ca07,0,Fine-Grained Access Control with Spring Security,abstract,"Spring Security has been studied up to December 2020 for various levels of access control, especially focusing on the precise and contextual ABAC and RBAC models. When used in combination with OAuth2 and JWT, it was possible to implement dynamic distributed security measures via policy-based solutions. These configurations served us well and offer the elasticity necessary in today’s microservices and multi-tenancy applications, with Spring Security offering a solid foundation for policy-based security of APIs and data assets (Di Vimercati et al., 2010).",,,,,,,,,
triple-012,66,proposed method,METHOD,EXTENDS,LEMMA,TOOL,2023,0.9,suitably extending LEMMA itself to enable the modeling of microservices’ security aspects.,unique_normalized_exact_quote_match,b8255053e7a184b814f4ba91f60f2876fc2c59c9,0,"Towards Resolving Security Smells in Microservices, Model-Driven",abstract,": Resolving security issues in microservice applications is crucial, as many IT companies rely on microservices to deliver their core businesses. Security smells denote possible symptoms of such security issues. However, detecting security smells and reasoning on how to resolve them through refactoring is complex and costly, mainly because of the intrinsic complexity of microservice architectures. This paper presents the ﬁrst idea towards supporting a model-driven resolution of microservices’ security smell. The proposed method relies on LEMMA to model microservice applications by suitably extending LEMMA itself to enable the modeling of microservices’ security aspects. The proposed method then enables processing LEMMA models to automatically detect security smells in modeled microservice applications and recommend the refactorings known to resolve the identiﬁed security smells. To assess the feasibility of the proposed method, this paper also introduces a proof-of-concept implementation of the proposed LEMMA-based, automated microservices’ security smell detection and refactoring.",,,,,,,,,
triple-013,127,proposed architectural framework,METHOD,LACKS,empirical validation,METRIC,2024,0.9,it acknowledges limitations in empirical validation,unique_normalized_exact_quote_match,f473421518c9dff903386b4974536d7fd245e96d,0,Implementing Zero Trust Security in Multi-Cloud Microservices Platforms: A Review and Architectural Framework,abstract,"The widespread adoption of multi-cloud infrastructures and microservices architectures has redefined enterprise computing by enhancing scalability, modularity, and service delivery. However, this decentralization has also introduced expanded threat surfaces and complex security challenges that traditional perimeter-based models can no longer address effectively. This paper presents a comprehensive review and a proposed architectural framework for implementing Zero Trust Security (ZTS) in multi-cloud microservices environments. Beginning with a synthesis of existing literature and industry best practices, the study identifies critical vulnerabilities and limitations in current security approaches. It then explores the foundational principles of Zero Trust—including least privilege, continuous verification, and identity-centric access control—and how they apply within distributed cloud-native systems. The proposed framework incorporates core security components such as identity and access management, centralized policy engines, micro-segmentation, and service mesh integration to enable fine-grained, context-aware access enforcement. Designed for cloud-agnostic compatibility, the architecture facilitates secure workload mobility and dynamic service discovery across heterogeneous environments. Practical considerations, including performance impact, interoperability challenges, and governance implications, are also discussed. Although the framework offers a strategic path toward resilient multi-cloud security, it acknowledges limitations in empirical validation and implementation variability. The paper concludes by recommending future research directions in adaptive trust scoring, AI-driven policy enforcement, and Zero Trust extensions to edge-cloud systems, thus contributing to the ongoing evolution of secure cloud-native computing.",,,,,,,,,
triple-014,41,Pomegranate,TOOL,COMBINES,open-source scanning tools,TOOL,2023,0.9,encapsulating open-source scanning tools into one suite,unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,"The microservice architecture enables organizations to shorten development cycles and deliver cloud-native applications rapidly. However, it also brings security concerns that need to be addressed by developers. Therefore, security testing in microservices becomes even more critical. Recent research papers indicate that security testing of microservices is often neglected for reasons such as lack of time, lack of experience in the security domain, and absence of automated test environments. Even though several security scanning tools exist to detect container, containerized workload management (Kubernetes), and network issues, none individually is sufficient to cover all security problems in microservices. Using multiple scanning tools increases the complexity of analyzing findings and mitigating security vulnerabilities. This paper presents a fully automated test tool suite that can help developers address security issues in microservices and resolve them. It targets to reduce time and effort in security activities by encapsulating open-source scanning tools into one suite and providing improved feedback. The developed security scanning suite is named Pomegranate. To develop Pomegranate, we employed Design Science and conducted our investigation in Ericsson. We have evaluated our tool using a static approach. The evaluation results indicate that the Pomegranate could be helpful to developers by providing simplified and classified outputs for security vulnerabilities in microservices. More than half of the practitioners who give us feedback found Pomegranate helpful in detecting and mitigating security problems in microservices. We conclude that a fully automated test tool suite can help developers to address most security issues in microservices. Based on the findings in this paper, the direction for future work is to conduct a dynamic validation of Pomegranate in a live project.",,,,,,,,,
triple-015,15,Systematic Literature Review,METHOD,PRODUCES,lack of practical studies on microservice security,FINDING,2022,0.9,"It was found that there are few studies dealing with the subject, especially in practical order",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,"The microservice architectural style splits an application into small services, which are implemented independently, with their own deployment unit. This architecture can bring benefits, nevertheless, it also poses challenges, especially about security aspects. In this case, there are several microservices within a single system, it represents an increase in the exposure of the safety surface, unlike the monolithic style, there are several applications running independently and must be secured individually. In this architecture, microservices communicate with each other, sometimes in a trust relationship. In this way, unauthorized access to a specific microservice could compromise an entire system. Therefore, it brings a need to explore knowledge about issues of security in microservices, especially in aspects of authentication and authorization. In this work, a Systematic Literature Review is carried out to answer questions on this subject, involving aspects of the challenges, mechanisms and technologies that deal with authentication and authorization in microservices. It was found that there are few studies dealing with the subject, especially in practical order, however, there is a consensus that communication between microservices, mainly due to its individual and trustworthy characteristics, is a concern to be considered. To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used. Finally, it was found that there are few open-source technologies that implement the researched mechanisms, with some mentions of the Spring Framework.",,,,,,,,,
triple-016,73,µDetector,TOOL,EVALUATES_ON,functional testing,METHOD,2023,0.9,µDetector was validated using functional testing and performance and scalability tests.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,"The recent adoption of microservice-based applications divides an application into small independent services that communicate using lightweight mechanisms, improving flexibility and scalability in dynamic DevOps environments that leverage containers and orchestration tools such as Kubernetes. However, this growing popularity raises concerns related to their dependability and security, aggravated by several attacks and the lack of intrusion detection tools that target microservices. Thus, developing solutions that can be deployed in real-world scenarios and whose purpose is to keep applications and businesses secure is of the utmost importance. This paper presents µDetector, an intrusion detection tool for microservice-based applications. This tool uses intrusion detection techniques from previous research and automates their functioning for Kubernetes and KubeEdge deployments. The user provides a configuration file and the tool uses monitoring agents to collect system calls from the containers and transfers them over to the IDS module that performs anomaly-based intrusion detection. Anomalous activity will trigger alarms indicating a possible intrusion. The user can interact with the tool and its monitoring capabilities through a command-line interface or a web dashboard. µDetector was validated using functional testing and performance and scalability tests. Results show that µDetector performs well and does not impact the proper functioning of the microservices: in scenarios with over 100 000 system calls being collected per second, the CPU and memory usage of the worker nodes did not exceed 10% of the total resources available.The source code repository can be accessed here: https://github.com/micro-sec/detector.",,,,,,,,,
triple-017,19,experiments and case studies,METHOD,APPLIED_TO,microservices security research,CONCEPT,2019,0.85,experiments and case studies are the most used empirical strategies in microservices security research,unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,"Microservices is an architectural style that conceives systems as a modular, costumer, independent and scalable suite of services; it offers several advantages but its growing popularity has given rise to security challenges. Building secure systems is greatly helped by deploying existing security mechanisms, but current literature does not guide developers about which mechanisms are actually used by developers of microservicesbased systems. This article describes the design and results of a systematic mapping study to identify the security mechanisms used in microservices-based systems described in the literature. The study yielded 321 articles, of which 26 are primary studies. Key findings are that (i) the studies mention 18 security mechanisms; (ii) the most mentioned security mechanisms are authentication, authorization and credentials; and (iii) almost 2/3 of security mechanisms focus on stopping or mitigating attacks, but none on recovering from them. Additionally, it emerges that experiments and case studies are the most used empirical strategies in microservices security research. The clear identification of most-used security solutions will facilitate the reuse of existing architectural knowledge to address security problems in microservices-based systems.",,,,,,,,,
triple-018,58,REPLICAWATCHER,TOOL,PRODUCES,recall,METRIC,2024,0.95,recall of 98.35%,unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,"—Despite its detection capabilities against previously unseen threats, anomaly detection suffers from critical limitations, which often prevent its deployment in real-world settings. In fact, anomaly-based intrusion detection systems rely on comprehensive pre-established baselines for effectively identifying suspicious activities. Unfortunately, prior research showed that these baselines age and gradually lose their effectiveness over time, especially in dynamic deployments such as microservices-based environments, where the concept of “normality” is frequently redefined due to shifting operational conditions. This scenario reinforces the need for periodic retraining to uphold optimal performance — a process that proves challenging, particularly in the context of security applications. We propose a novel, training-less approach to monitoring microservices-based environments. Our system, R EPLI - CA W ATCHER , observes the behavior of identical container instances (i.e., replicas ) and detects anomalies without requiring prior training. Our key insight is that replicas, adopted for fault tolerance or scalability reasons, execute analogous tasks and exhibit similar behavioral patterns, which allow anomalous containers to stand out as a notable deviation from their corresponding replicas, thereby serving as a crucial indicator of security threats. The results of our experimental evaluation show that our approach is resilient against normality shifts and maintains its effectiveness without the necessity for retraining. Besides, despite not relying on a training phase, R EPLICA W ATCHER performs comparably to state-of-the-art, training-based solutions, achieving an average precision of 91.08% and recall of 98.35%.",,,,,,,,,
triple-019,315,ImmuCheck,TOOL,ADDRESSES,container escape attacks,CONCEPT,2026,0.95,"We introduce a container escape detection approach that breaks this trade-off... Our system, ImmuCheck, instead applies selective immutability",unmatched_quote,,,,,,,,,,,,,,
triple-020,137,comparative analysis,METHOD,EVALUATES_ON,Snyk,TOOL,2024,0.95,"we conduct a comprehensive comparative analysis to assess the efficacy of three leading security scanning tools, namely Veracode, Snyk, and Checkmarx",unique_normalized_exact_quote_match,202a597eceed719ef4836cd405cde512cdc15b03,0,Microservices Security Vulnerability Remediation approach using Veracode and Checkmarx,abstract,"Abstract — As organizations increasingly adopt microservices architectures for building scalable and resilient applications, ensuring the security of these distributed systems becomes paramount. In this empirical study, we conduct a comprehensive comparative analysis to assess the efficacy of three leading security scanning tools, namely Veracode, Snyk, and Checkmarx, in identifying and remedying security vulnerabilities within microservices applications deployed on the AWS and Azure cloud platforms. The study aims to provide nuanced insights into the performance, usability, and integration capabilities of these tools, offering valuable guidance to organizations striving to fortify their microservices-based infrastructures. By meticulously evaluating scanning capabilities, vulnerability detection accuracy, remediation guidance comprehensiveness, CI/CD pipeline integration proficiency, and overall ease of use, our research sheds light on the relative strengths and weaknesses of each tool in the context of modern cloud-native application security. Through meticulously designed experiments utilizing realistic microservices application scenarios encompassing diverse vulnerability types, including injection attacks, authentication bypasses, and insecure configurations, we present a thorough examination of the tools' capabilities and limitations. The findings from our study contribute to the evolving discourse on microservices security, emphasizing the critical importance of selecting appropriate security scanning solutions tailored to the unique requirements and constraints of cloud-based microservices architectures. By leveraging the insights gleaned from our comparative analysis, organizations can make well-informed decisions regarding tool selection and deployment strategies, thereby bolstering the resilience of their microservices ecosystems against an ever-expanding threat landscape.",,,,,,,,,
triple-021,160,Systematic Literature Review,METHOD,PRODUCES,catalogue of security solutions,FINDING,2021,0.92,"In this study, we aim to present a catalogue and discussion of security solutions based on algorithms, protocols, standards, or implementations",unique_normalized_exact_quote_match,d47e4540f9c6aa354c86d9b16399205caf07cf0a,0,Information and Communication Security Mechanisms For Microservices-based Systems,abstract,"Security has become paramount in modern software services as more and more security breaches emerge, impacting final users and organizations alike. Trends like the Microservice Architecture bring new security challenges related to communication, system design, development, and operation. The literature presents a plethora of security-related solutions for microservices-based systems, but the spread of information difficult practitioners' adoption of novel security related solutions. In this study, we aim to present a catalogue and discussion of security solutions based on algorithms, protocols, standards, or implementations; supporting principles or characteristics of information security, considering the three possible states of data, according to the McCumber Cube. Our research follows a Systematic Literature Review, synthesizing the results with a meta-aggregation process. We identified a total of 30 primary studies, yielding 75 security solutions for the communication of microservices.",,,,,,,,,
triple-022,532,secure service discovery architecture,METHOD,USES,authorization mechanisms,METHOD,2024,0.95,"This methodology employs advanced encryption techniques, authentication protocols, and authorization mechanisms to safeguard Microservices in IoT.",unique_normalized_exact_quote_match,f713cfe763eb6b25928c5b176285d42f9b551ef7,0,A Contemporary Secure Microservices Discovery Architecture with Service Tags for Smart City Infrastructures,abstract,"The re-conceptualization of fundamental elements from traditional monolithic structures to the Microservices framework has emerged as a vital vision for the future of IoT systems. This transformation is pivotal in addressing the present and future challenges faced by IoT systems and enhancing their overall operational qualities. The adoption of Microservices in IoT introduces an array of opportunities for innovative research, which collectively contribute to its feasibility and success. The transition from traditional systems to Microservices in IoT brings forth various complex challenges that need to be effectively addressed. Key challenges include ensuring seamless Microservice discovery, efficient API gateway management, scalable distribution services, reliable uniform service discovery, robust containerization, and stringent access control mechanisms. These challenges encompass both technical and security-related aspects, necessitating innovative solutions to overcome them. To overcome these challenges, our research proposes a secure service discovery architecture that integrates security measures at each stage of the discovery process. This methodology employs advanced encryption techniques, authentication protocols, and authorization mechanisms to safeguard Microservices in IoT. A mathematical framework is introduced to formalize and implement these security measures, ensuring a robust and reliable approach to Microservices adoption in the IoT ecosystem. In the experimental phase of our research, we aim to validate the proposed secure service discovery architecture through a series of rigorous tests and simulations. We will assess its performance, scalability, and security efficacy under various real-world scenarios and IoT use cases. Experimental results and performance metrics will be analyzed to provide empirical evidence of the viability and effectiveness of our proposed methodology in addressing Microservices-related challenges in IoT systems.",,,,,,,,,
