item_id,paper_id,stored_pilot_retained,recomputed_current_lexical_retained,architecture_terms_matched,security_terms_matched
screen-024,a4f8e4968e183bacf2ea0f5fa019480fea9a4f3d,True,False,,security; threat
screen-025,fb0262ce63a579b385fe11af143a4e3f43004429,True,True,microservice,security; attack
screen-026,170a224f7c5d42870fbb32213a2c640d45e2961e,True,True,microservice,security; secure; authentication; authorization; attack; threat
screen-027,c3c98df61cc4afeb7e9fc6af6d91c1a43b3bd887,True,True,microservice,security
screen-028,8ad60642e9f42cd446659b4f3bbd94f113bf6f24,True,True,microservice; service mesh,security; secure; attack; encryption; mTLS; mtls
screen-029,c51e4972b2143840f51a1442fa2662967654da3f,False,False,,security; attack
screen-030,b66098a71c3ee4c03293ee5c4e63003034b21eab,False,False,,security; secure; attack; policy
screen-031,a7594ddcc631de3ff5739630f34a83c740585097,False,False,,security
screen-032,83565a44087b065886fd05c67daa630708883356,False,False,,security; attack
screen-033,ef71ac11c00ea0f74633d06eea6af24fae63a0c3,False,False,,security; secure; authentication; access control; zero trust; attack; identity; policy
screen-034,23e6f01ada28decc963360b8032039561247ae8d,True,True,microservice,security; attack
screen-035,df586c18720034daca785d48b9d5cd327b535406,False,True,microservice,security; access control; privacy
screen-036,ef1d59f32ac769ae1bf9f1237517ea1edf1abd83,True,True,microservice; service mesh; cloud-native,security; secure; attack; threat
screen-037,c486d7216a3790e24a0ee8c6511dba5298daf767,False,True,microservice; service mesh; cloud-native,security; secure
screen-038,94f4d0c7370040b4601b7079af05a360ae30f0a4,True,True,microservice; service mesh; cloud-native,security; attack; threat; mTLS; mtls
screen-039,c51fe3364a2b0c328136fdb307c0d394a1836afd,False,False,,security; attack; threat
screen-040,f436844793ae5f44c49476abccb13297f7aeed7c,True,True,microservice,secure; authentication; access control
screen-041,e579ae6e12f48ab930ee85e83c34f295cd107a26,False,False,,security; secure; authentication; attack; policy
screen-042,cde7cb26a4b7e9b08e064e0fb017eafbb8be919e,False,True,microservice,security; zero trust; encryption; identity
screen-043,b583d673522026ff77340d0b9f089e9deef15837,False,True,microservice; cloud-native,authentication
screen-044,2d875d04d227bb39fcb9bbcbbe11854439b37d72,True,True,microservice; service mesh; cloud-native,attack
screen-045,0ba3efc9d8f2304abf7c1daa125b1d5e8a5faf97,True,True,microservice,security; attack
screen-046,ffe3fe154dd8826906407acf190a85293f24662c,False,True,cloud-native,security; secure; authentication; access control; zero trust; attack; threat; identity
screen-047,17e854c8e6bd0610c769b20cb193d33d49a39477,False,False,,security; policy
screen-048,f2a7c1a081d1552db75412cc79ec1ae47d2180c7,True,True,microservice; service mesh; cloud-native,security; secure; authentication; authorization; access control; zero trust; attack; threat; identity; policy; mTLS; mtls
screen-049,88269d02b3044ddca59b013467940182218c82a9,True,True,microservice,security; secure; encryption
screen-050,51fc506c604233773fafb75d739ae8f21f1640f9,True,False,,security; secure; attack; threat
screen-051,e9bfb844960e114734c551f8c0634db9cc36dcf1,False,False,,security; authentication; zero trust; threat
screen-052,ed9771ad472ea1c2a7b493c7dd50358fbe759483,True,True,microservice,security; secure; authentication; access control; privacy
screen-053,e9f78cc559511112b8b41cacd28f7476f217802d,True,True,microservice,security
screen-054,d1d5f63afc99e27b8d6ec62d4dd3ceb8c2db3407,True,True,microservice,security; secure; authentication; authorization; access control; attack
screen-055,e32eb4a1535a879905ae28638e409dc22b5e7585,False,True,microservice,security; secure; authentication; access control
screen-056,f23e5bf6c1c5ece7ed85678b5b9503a5da0a7489,False,False,,security; zero trust; vulnerability
screen-057,2d3632bd98ec37afa92ebffea5577b933b0a5605,True,True,microservice,security; secure; access control; threat; encryption
screen-058,1c63a43ebef0b112e86a455a34aee78b08cca035,True,True,microservice,security
screen-059,d791042f46e1fc8c0fb090f62cf0e3b9a01887d2,False,False,,security; secure; authentication; access control; vulnerability; attack; threat; identity; policy
screen-060,6444c4d32587864c3ca0509c627454dfbdd1a81a,False,False,,security; secure; authentication; zero trust; attack; privacy; policy
screen-061,d343985d4eb352182471b75f78c6dc4180b7089e,True,True,microservice,security; policy
screen-062,d156af392e019f2e329a5a0d4f7dc8ea55fb4b6f,True,True,microservice,security; authentication; authorization; access control; attack; threat
screen-063,b5ba05f77b33469e30cc3454c0ce27abb66a659e,False,False,,security; attack; threat
screen-064,9214bacd0c1a5c117c1b03533bcb0fe2b9f34a44,False,False,,security; secure; authentication; access control; zero trust; attack; threat; identity; policy
screen-065,40fda014e97c5ff3bfe5a3a55766b79d17cd42c8,True,True,microservice,security
screen-066,6847a6357d588ab3f22703c12e72b4d7523d12b2,True,True,microservice,security; secure; threat
screen-067,19033fa9c50cf364eb72e89c3682f26433e40df9,False,False,,security; authentication; access control; zero trust; threat; identity
screen-068,c3872412f74946d093da94d940f14121990707a7,False,False,,security; access control; zero trust; threat; identity
screen-069,328396aae862a20f479311c1dfebd836ca7a5cd1,False,False,,security; authentication; authorization; zero trust; attack; threat; identity; policy
screen-070,dc356ecb7c50abea45b55d1a32bfdafb2c5545dc,False,True,microservice,security; privacy
screen-071,125137e7e4135f00565c2fcb9b1446f5e55516b6,False,False,,security; attack
screen-072,9355239f0d5183285db5ebca5cedafe13d12f733,False,False,,security; threat
screen-073,3d0652271dcd2d7dae893a65624387d471f17d15,True,True,microservice; cloud-native,security
screen-074,bbca698fbaec76472895f0ecdc38325fdc90a39b,False,True,microservice; cloud-native,security; attack
screen-075,8ca852c44150b636cbdf31fe52a716ee14cde66b,False,False,,security; secure; access control; zero trust; encryption; identity
screen-076,d73b05629d413588c1a30fdb00c499236ce490e3,False,False,,security; zero trust; attack; threat; identity
screen-077,55b1543ed7bb682c551dee6d83a1e15ecea4d2a8,False,True,microservice,security
screen-078,7f514f961159f16aee31eaeead3d46fb15f8272c,False,False,,security; zero trust; attack; threat
screen-079,639adbbe925620afa7594bfd2cf37b6c344f50e3,True,True,microservice,security; authentication; threat; privacy
screen-080,90223aef4fdea1a6b02d0576df3a478680af2865,True,True,microservice; cloud-native,security; secure; authorization; zero trust; attack; threat; identity; policy; oauth
screen-081,1634ee02d755476c4ac05f3fc99ad994bdfc8125,False,False,,security; authentication; identity; policy
screen-082,3e79afab87dcdbd581962c370e070859a6b7f44d,True,True,microservice,security; secure; authentication; zero trust
screen-083,81c43cc3a113fdbd0c1da37df6aabd93725619bc,True,True,microservice,security; secure; attack
screen-084,2f4af12327fedf2ed81e76e743d1e210da7f8929,False,False,,secure; authentication
screen-085,17bf57a46b7f6255cc355f0d5624e44106e5c711,True,True,microservice,security; attack; threat
screen-086,338a7524bb0e93e7734169a63a2e2565c16fc701,False,True,microservice,security
screen-087,8c0ca4c028837c1ed41239d45184232b887e1350,True,True,microservice,security; attack
screen-088,51eba7148b02c4b5adad7115b39c1cff22dfc882,False,False,,security; policy
screen-089,01e58f71a83260c5566ee2dc7fc7b90685c4d651,False,False,,security; attack
screen-090,cd2809ae6e903ee37ca9d22b4abbb12539979dd4,False,False,,security; secure; authentication; threat; policy
screen-091,9d88f764125ed8e5090bc746e0c834e97ee5feb3,False,False,,secure; authentication; access control; privacy; policy
screen-092,8ba88dd1693e05285489e811f8171ea3b6bb2166,True,True,microservice,security; vulnerability; attack
screen-093,7c1e2e6bedf484e34e2d4b92b06ced2e03839768,True,True,microservice; cloud-native,security; authentication; access control; vulnerability; attack; identity; oauth; mTLS; mtls
screen-094,6666b990f007a14661e7a5a515524fcaf2dfeabf,False,False,,security; attack; privacy
screen-095,35930827b46425860898e26e527a3b2b40fb73ce,True,True,microservice; cloud-native,security; secure; authentication; authorization; zero trust; attack; threat; identity; policy
screen-096,f769578b6fe76100c566e1acc9063d542e1f9b70,False,False,,security
screen-097,585483ae739e88a8eb69a7dba06b867dac6abe16,True,True,microservice; service mesh,authentication; zero trust; attack; policy
screen-098,59718c4052de2b58af172cb57f206108cce898ce,False,False,,security; authentication; zero trust; attack; threat
screen-099,4a89aba0f30abe081a260339cde28a4ad2d74a9b,False,False,,security; secure; authentication; zero trust; threat; identity
screen-100,bf74c2d1ea6cbbb3547de51efafea56d5ed49309,True,True,microservice,security; secure; access control; zero trust; threat; encryption
screen-101,cb4edfb16c2c8e709635eec08eb93bf8b934b93e,True,True,microservice,security; attack; threat
screen-102,79ea5e3d44f43de79304a3dba7a8820f17b311a0,True,True,microservice; cloud-native,security; secure; authentication; authorization; access control; threat; identity; oauth
screen-103,84ab1cf747d9b70173ecf2df0caf06bccb4d1816,False,False,,security; attack; threat
screen-104,2d09963e6c39c34ec7ef83641ec0425fad68a6b6,True,True,microservice,security; authorization; access control
screen-105,3211b119165fbc04f1183bcb39dcc9ad0858c255,False,False,,security; attack; threat
screen-106,fee388be9efce310044a5b944fecd70aa077310c,True,True,microservice; cloud-native,security; threat
screen-107,cec21d9426bb2453e3dcf3bb33bbfd111246490b,False,True,microservice,security
screen-108,d09c3b4c791250b4a5cb5638597e401692b00048,True,False,,security; secure; threat; identity; policy
screen-109,05c26ba2473e432f3db292954fc38dfae61d0fcb,True,True,microservice,security; secure; policy
screen-110,c1e80971688af339b2d1e8466f84212709d37ed7,False,True,microservice,security; authentication; authorization; oauth
screen-111,bca61ccc246f39eea38a00b72e768769b88760fe,True,True,microservice,security; vulnerability
screen-112,6bc01158cf9d3d012f9ea74688034c6c0a0aafe9,True,True,microservice,security; vulnerability
screen-113,ad857604d894842d9525bdb0939d45534d9ad94b,False,False,,security; secure; threat
screen-114,76f01cb882e382b772482f781566df49346e3e9b,False,False,,security; attack
screen-115,cf206555bb0eb545921dcfcaac0f36ad0d4025f6,True,True,microservice,security; attack
screen-116,d56941d5d52b0029130498163e95ac34e9e138b4,False,False,,security; zero trust; attack; threat
screen-117,9acf4b31c960f7be7f9aa974a829c50ebd48b7e9,True,True,microservice,security; access control; attack
screen-118,eeeedb5463fb109b54f017fb3f773ff4b3ffea6d,True,True,microservice; service mesh,security; authentication; authorization; access control; zero trust; policy; oauth
screen-119,462f288c51128a6f6318cf6c6902b4a6400de461,False,False,,security; zero trust; attack; threat
screen-120,eabd508bf7e05a8c281d1def3a29ce4521a8fe8f,False,True,cloud-native,security; attack; threat
screen-121,d531899c13d42733379cee72de4a99885e1782bb,False,True,microservice,security; attack; threat
screen-122,48a956f86a7505177d4f651644122259251fd493,True,True,microservice,security; attack
screen-123,0af797a6fded2611c9934231d4110dc2162d8d0e,False,False,,security; authentication; zero trust; attack; threat; policy
screen-124,66bb2c8e05ce2bbf09c4950b0f5481ce6db5f62d,True,True,microservice,security; secure; authorization; access control; oauth
screen-125,dfd00d72f9a8a4a3efd959aeec1aecbae1ff4ce1,False,True,microservice; service mesh,security
screen-126,4b9aeabba3cc181c264c99089be698bd8b8685e0,True,True,cloud-native,security; vulnerability; attack; threat
screen-127,919ca3370b5a856f9d2e9930b73ac5cb70ccdc58,True,True,microservice,security; attack; threat
screen-128,4a7e1bb88a54f8214f29e2e306fc49cc56cf4326,False,False,,security; zero trust; privacy
screen-129,3a3d9cf566e9c29db356bea048e2b97aea1f4ff7,True,True,microservice,security; authentication; authorization; oauth
screen-130,dea16108301be00db6725837fa4ffe0159c06768,False,False,,security; zero trust; threat
screen-131,12033a8c23f3a4e0fc6871bee4b98a9c610fe11c,False,True,microservice,security; access control; zero trust; threat; policy
screen-132,bf7ddfcdbaacb11ac4a1a2d8a90e107eb6418916,True,True,microservice,security
screen-133,aa046505014b9a467a50d49974e13d630a693b87,True,True,microservice,security
screen-134,9e2231e3ae5dc12315ca9a1bdc7c4daac4900c01,False,False,,security; secure; access control; zero trust; attack; threat; identity
screen-135,d166967cfeacb255278bf2338fe9bc297c6f6f97,True,True,microservice,security; secure; attack
screen-136,4dc7226fe8233804f20571add887a6b7929102ea,True,True,microservice; cloud-native,security; attack
screen-137,df8919985a75cbfa95de4619b7e72df4f3926663,False,False,,security; secure; authentication; zero trust
screen-138,0cc0881a21c14ff1295640ea8e6ea6fdbc07e155,True,True,microservice; cloud-native,security
screen-139,fdd5e416e4555382978ba18cfd599ae95d621fa8,True,True,microservice; service mesh,security; secure; authentication; authorization; attack; policy; mTLS; mtls
screen-140,4e5ebfb3cf4b5b6a33f4494d65b818a453701075,True,True,microservice; cloud-native,security; secure; authentication; access control; zero trust; attack; threat; identity; policy; mTLS; mtls
screen-141,2afd4e8e687ab9329bdc06b75cd063cadea773ee,True,True,microservice,security; secure; authentication; access control; attack; encryption; identity; oauth
screen-142,0914814a7fe503ef59ef13a54db02c93733d7d15,False,False,,security; secure; authentication; access control; zero trust; attack; threat; identity
screen-143,c8a17e3b4d83d3b81fcda5c84b39fab34a06d481,True,True,microservice; cloud-native,security; authentication; authorization; access control; attack
screen-144,1a2cf0e71603e54469952a832b2e6fe8d65ef2d8,False,False,,security; attack
screen-145,f4e3aecf2114ee8176ad51e9c1366181dbbc5856,True,True,microservice,security; secure; authentication; authorization; access control; attack; threat
screen-146,6e2a1c38e17e6de57e66e9d2b5fc1194184ff4f5,True,True,microservice; service mesh,security; access control; attack; threat; identity; policy; oauth
screen-147,b9cd9f2010aee9b61d052bf87a5ab9cea205f550,True,True,microservice; cloud-native,security; secure; authentication; access control; threat; oauth
screen-148,6f89d12e976ccfe7b611eb88cd08022a4ddb424b,False,False,,security; authentication; zero trust; policy
screen-149,3a822bd68c45ae2a3de7a137553a5f9b52491b0a,True,True,microservice,security; attack
screen-150,b3eb59d55a99cfafce61a6f87e90f8ff88e57786,False,False,,security; access control; attack; threat; identity; policy
screen-151,f8c23c16a22a314038fe333a2fd78d981a41d647,False,True,microservice; cloud-native,security; authentication; access control; policy
screen-152,aa77d5ad503788b3410c4833ffb4b278b5201c28,True,True,microservice,security; authentication; threat; encryption
screen-153,73ebff68ea027cde188ed556a87c584d48cf863f,False,False,,security; attack
screen-154,58774f02c4ad3d12cb1dbd7375e3f0e237ac8136,False,True,microservice,security
screen-155,b8255053e7a184b814f4ba91f60f2876fc2c59c9,True,True,microservice,security
screen-156,bc4e0e764519492a362bd07e576150046339ff0d,False,False,,security; authorization; zero trust; attack
screen-157,d47e4540f9c6aa354c86d9b16399205caf07cf0a,True,True,microservice,security
screen-158,732c8205d81be7a1d6b8b1032ac8a146d09fd57e,False,False,,security; secure; access control; threat; privacy; identity
screen-159,9d53a29eb5f26766b19dea4ef45dc265d287567e,True,True,microservice,security
screen-160,9ce98d657b5b43a5bd8ab4c4860a606fc6dcee6c,True,True,microservice,security
screen-161,f220e7f3e525751076eb165fb04be0a185bf8250,True,True,cloud-native,security; secure; zero trust; threat; policy
screen-162,b87521a3d41cd92aee072c6eb1b20566e768ae1d,True,True,microservice,security; secure; authentication; access control; identity
screen-163,16f5ca7ba9327b1d09ca77b4195b9aa934d43d48,False,False,,security; attack
screen-164,1775e5b0f85bafd57ef203ed4a27d594d9b7d263,False,True,microservice,security; secure; authentication
screen-165,23c651940d45f10a5de1a90f8285e6e21fecd419,False,False,,security; attack; threat
screen-166,2238fc0c6e623af0cf152848220db5850779e143,False,False,,security; zero trust; attack; threat; encryption; identity
screen-167,ad9fe516be3a3683a7f9b6a7cb4026ab493deb8c,True,True,microservice,security; secure; authentication
screen-168,0052f3873f6941a73956370b59c7928ab2317d51,True,False,,security; access control; oauth; mTLS; mtls
screen-169,39acaaaf4129b1870396b3bcda609c74c034292f,True,True,microservice,security; authentication; authorization; access control; oauth
screen-170,5c101d07c3d2f57561380c3c65ed17628153477d,True,True,microservice,security; attack
screen-171,202a597eceed719ef4836cd405cde512cdc15b03,True,True,microservice; cloud-native,security; secure; authentication; vulnerability; attack; threat
screen-172,11add935ffec2c447d1f2210eb1bf60571c0421c,False,False,,security; authentication; authorization; access control; zero trust; attack; threat; identity; policy
screen-173,cf6762bf2b96e2478c7430738209dbec46cb2590,True,True,microservice; cloud-native,security; secure; vulnerability
screen-174,3a970c4b844fc64ed506b6aabd45d6b0aba1bb2d,True,True,microservice,security; attack; policy
screen-175,f9e12b0ae4efaceddadb369be00c52c5a3929831,False,False,,security
screen-176,54cd21072694e704a4b589498e63df9bed4c8e84,True,True,cloud-native,security; attack
screen-177,73cf1c17fceac6988d4fb6d6f7fee0b6a259e889,False,False,,security; secure; privacy
screen-178,64ea3fef2945f44f29528c7c140d5a251e30a5e3,True,False,,security; attack
screen-179,7e4f9d619be3b4033c898810a92b275c0ddfd471,False,True,microservice; cloud-native,security; threat
screen-180,138d30225110b222416a56e0725d762269a85b8d,False,False,,security; authentication; access control; zero trust; threat; policy
screen-181,8681be87981ec0fa37070fff9909d4f358e1bb6a,False,False,,security; authentication; access control; zero trust; threat; identity
screen-182,a119081f07064d9a0bd4509139cc6b4353ab00a5,False,False,,security; attack
screen-183,1a2d7a592bf53c73a4733c3242727a44625e5145,True,True,microservice,attack; threat
screen-184,e68481d7016b07446a8053e8c0ca6aae78db2aa6,False,False,,security; threat
screen-185,6e6effb33ae9f75c9f92a5349b2bf897163b794c,True,True,microservice,security; privacy
screen-186,8c30b98a0923ef7e89df962bf82f7b41cf82ab9e,True,True,microservice,security
screen-187,7a6ffced6c93e71105477ca0ad7c3dd9fb22d5fa,True,True,microservice; micro-service,security; attack
screen-188,e85d2b8b7dee474b5d815831254bcc8dca93dbdd,False,False,,security; secure; attack
screen-189,fdff17253c02579a581c5de38468b5c6d83ae499,False,True,microservice,security; authorization; attack; threat; privacy; policy
screen-190,95c8c6a3112a0a378fd9c6f4e04160ec2a0f5fa8,False,False,,security; secure; attack; threat; encryption
screen-191,2138286985b59d1e36a317be363df506a96f5a10,False,False,,security; secure; authentication; access control
screen-192,5acba61a7b2b7526a9453f5cfa7f0837f3bdaf9f,False,True,microservice,security; threat; policy
screen-193,d5cc9fbb197d4e02eba3d20ee1c5f6224b95e2cb,True,True,microservice,security; secure; attack; threat; encryption; policy
screen-194,80dbd0a856a6825472bb709457a427f66b35e337,False,False,,security; secure; authentication; authorization; threat; encryption; identity; policy; oauth
screen-195,5e447133b5fb3e6cdc90ad0f2467ecca2444be86,True,False,,security; threat
screen-196,702ead00a5fe44384a58854e8bc960677e783a84,False,False,,security; authentication; access control; zero trust; attack; threat; identity
screen-197,4f59d87b186ffed58665487bf90b591f53724cdd,False,False,,security; zero trust; attack; threat; policy
screen-198,3f7510f5e175698777c9e644ceb99d2490adbdf8,True,True,microservice,security; encryption
screen-199,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,True,True,microservice,security; secure; authentication; authorization; oauth
screen-200,50d561358b427f4546a2c2cd6bb320d8a5145705,False,False,,security; zero trust; attack; threat
screen-201,b6092fe945850ed5db757ed58d0b905f38cac4ab,False,False,,security; authorization; access control; zero trust; threat; identity
screen-202,7719a5104fa29a400e7ed840145f49e099c29d5f,False,False,,security; secure; authentication; access control; attack; threat; oauth
screen-203,336a35e1bc0adabe6e4e610a21cf28140b255f95,False,False,,security; attack
screen-204,08487f09bd230f5950c7a0b1529a6d4d822c3cc0,True,True,microservice; cloud-native,security; attack; threat
screen-205,cf1cc2b54c0227d92b39257a94696d2bb91753cf,False,True,microservice; cloud-native,security
screen-206,7be5143439b57d938d2934e7f7b2720fa2c7cd12,True,True,microservice; micro-service; service mesh,security; secure; zero trust; policy; oauth
screen-207,607ab6dcd2c74be5da5fcf484aed585b83e70430,False,False,,security; secure; authentication; zero trust; attack; threat; privacy; encryption; identity
screen-208,2d0a2e98edb4e972f18c76692fe24ce77b2ab802,False,False,,security; authentication; zero trust; attack; threat; identity
screen-209,b81815de13660b221f336381d9e9ce068c5eab50,True,True,microservice,security; secure; authentication; attack; threat
screen-210,5893a1cb244019237283b5ac72b7bb91f32ec686,False,False,,security; secure; authentication; access control; zero trust; attack; threat; identity
screen-211,25f8bb3cf49c68320a9cb37fa36cd5dd3ea5ceaf,False,False,,security; access control; policy
screen-212,5872be65512ef6ea163997ebc7805365296b7ee1,True,True,microservice,attack
screen-213,1a067884b367eac04e1bbd1da7de0fd4a50754d7,True,True,microservice; service mesh,security; authentication; authorization; access control; oauth
screen-214,1f483d89388f6e727720300f78f89a6878865c9d,False,False,,security; attack; privacy
screen-215,b1bdcf44013152e321c02db06108832a2f12d8c1,False,False,,security; zero trust; threat
screen-216,9b7f9afa3b46cda2beae5c2219c660a735218386,False,True,microservice; cloud-native,security
screen-217,ba4f4b5b26c1f87fd05506de7247e26171888f16,True,True,service mesh; cloud-native,security; secure; threat; privacy; encryption; identity
screen-218,37a4478b1e6fb9144165dc45a6d8df42631658c3,True,False,,security
screen-219,982518a9e2460df067d1bd2e13c74a3a56ed6a0d,False,False,,security; authentication; attack; threat; policy
screen-220,dd55d9a63e8a8ce686f53cf7221a980003740879,True,True,microservice; cloud-native,security; access control; vulnerability; attack; policy
screen-221,ae8846723c582d9b922d68fce2fdd20ab83f2f59,True,True,microservice; service mesh; cloud-native,security; authentication; authorization; identity; policy
screen-222,6cc02409e8cadd38d0530b8f232b044d1dad2a91,True,True,microservice; cloud-native,security; secure; vulnerability; policy
screen-223,3ec922cfd0ab8278c296a309790a591f15a643fb,False,False,,security; secure; authentication
screen-224,aff919e1e8c9143fbd350300313f0d74aa44835e,True,True,microservice,security; secure; authentication; authorization; access control; zero trust; attack; identity; policy; oauth
screen-225,4cf73faaee9eafca70377735d73de14e33ff45fd,True,True,microservice,security; vulnerability
screen-226,22df84590b05ad2688bd961ef25158166b6b2048,True,True,microservice,security; secure; authentication; access control; attack; identity; oauth
screen-227,7fe584266f54d2f17938d86ee1dfd50d626dbbcc,False,True,microservice,security; policy
screen-228,d1362e621ac22946dad1ce4c61881e499ab5f52d,False,True,microservice,secure; authentication; authorization; access control
screen-229,ef0e7687a934198656ee21d36157bb4e0e7880d4,False,False,,security; secure; authentication; authorization; access control; zero trust; attack; threat; identity
screen-230,19ed159b8fba06853208abc9a38dc1696cb44fde,False,False,,security; secure; authentication; access control; threat
screen-231,514a96af287ab19a399479f91ae91a28b1593c5c,True,True,microservice,security; secure; privacy
screen-232,306b55dc82d00c26a90088f39209a4556e4bd8db,True,True,microservice; cloud-native,security; secure; attack; threat
screen-233,b41e5f721cb03c4ea5ce0b4658ca5c2cdfa37f7d,True,True,microservice,security
screen-234,7af7079af4b21c67818e99de747dbedb2d4c37be,False,False,,security; authentication; authorization; access control; zero trust; threat
screen-235,fed0a3fef1876a61c42961b1b20665dfb46dfadc,False,True,microservice,security
screen-236,55519782876fabde16066ea5e99fe12b2816b213,False,False,,security; secure; authentication; zero trust; threat; identity; policy
screen-237,d609411db6e2cddb39a0c02b6550eddcc81e5ddc,False,False,,security; authentication; access control; zero trust; threat
screen-238,27e86c4831fc0812a7dc669ec46e68155327ab9b,True,True,micro-service,security; privacy
screen-239,ae91ce661ed8116b0dc136aed12a029d5352eb8f,False,True,microservice,security
screen-240,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,True,True,microservice,security; threat
screen-241,0a6a2d499f93baf64457d6b2a47f17c0520533dd,False,False,,security; secure; authentication; threat
screen-242,8701b69157ad4e20d160586ba1ce9a840d8fd947,True,True,microservice,security; attack
screen-243,0353f6b0ad666808edd0b816b2b517334d679107,False,False,,security; policy
screen-244,aa40c720f4f563efeec586b1220ace5ec68be45a,False,False,,security; zero trust
screen-245,bedfbe06d2b583f48f8d7e87d2a4a58831c8b742,True,True,microservice,security; authentication; authorization; identity
screen-246,b5901744d5b4262ab8285f5e03384c514592f563,False,False,,security; secure; access control; zero trust; threat
screen-247,8d1cd44782b21f35cada2bd78f0ff28498cd07fc,False,False,,security; attack; threat
screen-248,00edf7db9f062ff0357743e29d731ee435be051a,True,True,microservice,security; threat
screen-249,ffa18e986782143ae40fde1caa5136964eab180c,True,True,microservice; service mesh,security; secure; access control; threat; identity; policy
screen-250,a9ed8667c72b1a0710ccf4f31b2a4f6e6ef3308d,False,True,microservice,security
screen-251,a4363faaecabe97b6f820ea61c9240d3415befd0,True,True,microservice; service mesh; cloud-native,security; secure; authentication; authorization; access control; threat; identity; policy; oauth
screen-252,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,True,True,microservice,security
screen-253,90e083c73a326a4e553d9534c63470f99be413a5,False,True,cloud-native,security; authentication; threat; identity; policy
screen-254,a42aad4b7f3e891258c30b56934a78927feb3731,False,False,,security; secure; authentication; access control; zero trust; attack; threat; identity
screen-255,a0eba00e24181e1010b0f3913af128b0b9bf8e21,True,True,microservice,security
screen-256,f713cfe763eb6b25928c5b176285d42f9b551ef7,True,True,microservice,security; secure; authentication; authorization; access control; encryption
screen-257,291621b71da978efa759661b92e014abf871d446,False,True,cloud-native,security; attack; threat
screen-258,eec381f771479444637a96bddd94a62e44200f20,False,False,,security
screen-259,a4c78ffc9a8de7a7e874a3342b1ad1102dd90421,False,True,microservice,security; secure
screen-260,7a42732ca79edc2a87e2ba4dc63e2bbcb80903b9,True,True,microservice; cloud-native,security; secure; attack; threat
screen-261,b9bc41d91f848e5177eaab14b899071fe095b0ae,True,True,microservice,security; vulnerability; threat; policy
screen-262,84e5ca56e5c78bb8ca4c7be5f4ed22c418a852fa,False,False,,security; secure; attack; threat
screen-263,883ad46b41883d32222fbcc48c68b3a826fc50bc,False,False,,security; secure; zero trust; attack; threat
screen-264,11373b968e27a98a5e59f8cc844f731933e7075f,False,False,,security; zero trust; threat; identity; policy
screen-265,8b49e20cf6d981c5e7af582035e9c5254e432ecd,True,True,microservice,security; vulnerability; attack; privacy
