item_id,title,abstract,publication_year,reviewer_1_decision,reviewer_2_decision,adjudicated_decision,exclusion_reason,comments
screen-011,µDetector: Automated Intrusion Detection for Microservices,"The recent adoption of microservice-based applications divides an application into small independent services that communicate using lightweight mechanisms, improving flexibility and scalability in dynamic DevOps environments that leverage containers and orchestration tools such as Kubernetes. However, this growing popularity raises concerns related to their dependability and security, aggravated by several attacks and the lack of intrusion detection tools that target microservices. Thus, developing solutions that can be deployed in real-world scenarios and whose purpose is to keep applications and businesses secure is of the utmost importance. This paper presents µDetector, an intrusion detection tool for microservice-based applications. This tool uses intrusion detection techniques from previous research and automates their functioning for Kubernetes and KubeEdge deployments. The user provides a configuration file and the tool uses monitoring agents to collect system calls from the containers and transfers them over to the IDS module that performs anomaly-based intrusion detection. Anomalous activity will trigger alarms indicating a possible intrusion. The user can interact with the tool and its monitoring capabilities through a command-line interface or a web dashboard. µDetector was validated using functional testing and performance and scalability tests. Results show that µDetector performs well and does not impact the proper functioning of the microservices: in scenarios with over 100 000 system calls being collected per second, the CPU and memory usage of the worker nodes did not exceed 10% of the total resources available.The source code repository can be accessed here: https://github.com/micro-sec/detector.",2023,,,,,
screen-012,Implementing Dynamic Confidential Computing for Continuous Cloud Security Posture Monitoring to Develop a Zero Trust-Based Threat Mitigation Model,"The growing complexity of cloud infrastructures and the increasing sophistication of cyber threats necessitate a
paradigm shift in cloud security architecture. This review explores the integration of dynamic confidential computing with
continuous cloud security posture monitoring (CCSPM) to develop a Zero Trust-based threat mitigation model. Confidential
computing, through trusted execution environments (TEEs), ensures data protection during processing, addressing critical
gaps in data-in-use security. When combined with CCSPM tools, which provide real-time visibility and risk assessment,
organizations can achieve adaptive and proactive defense mechanisms. This paper examines the fundamental principles of
confidential computing, the operational mechanisms of CCSPM, and the implementation of Zero Trust frameworks across
distributed cloud environments. It further proposes a dynamic model that fuses telemetry from posture monitoring with
policy-based access control to enforce continuous verification and threat response. The synergistic approach promises
enhanced data integrity, reduced attack surfaces, and scalable threat resilience. Finally, the paper outlines current
limitations, standardization challenges, and research opportunities for advancing secure and trustworthy cloud ecosystems.",2025,,,,,
screen-013,Microservices-Driven Automation in Full-Stack Development: Bridging Efficiency and Innovation With FSMicroGenerator,"The development of modern web applications presents major challenges due to increasingly complex architectures, scalability requirements, and the need to reduce time to market. These challenges are exacerbated by the shortage of talent, making the implementation of modern architectures more difficult for many companies. In response, this article presents FSMicroGenerator, an innovative code generation tool based on a low-code approach, which exploits UML class diagrams and templates to generate multilingual, full-stack web applications based on a microservices architecture. FSMicroGenerator automates the entire process of creating IT solutions, from development to deployment, reducing technical barriers and technical debt, and enabling teams to focus on business innovation while ensuring compliance with industry standards and best practices. By facilitating the adoption of DevSecOps practices, it improves collaboration between the development and operations teams, ensuring that security is integrated at every stage of the development process. This enables continuous management of the application lifecycle, faster and more reliable releases, and proactive identification and mitigation of security vulnerabilities. FSMicroGenerator also stands out for its ability to create a catalog of ready-to-use functional blocks, enabling their reuse and integration into other solutions. In addition, it offers a secure ecosystem, protecting companies’ assets against the risks of data exposure and leakage thanks to a robust architecture and integrated security mechanisms. As part of our open innovation approach, we plan to make FSMicroGenerator open source, to broaden its adoption and enable the community to contribute to its continuous improvement.",2025,,,,,
screen-014,"A Hybrid AI and Blockchain-Enabled Zero-Trust Security Framework for Cloud, Edge, and IoT Systems","The recent explosion of cloud computing, edge computing, and Internet of Things (IoT) devices has radically changed contemporary digital infrastructures and allowed processing data at scale, real-time analytics, and intelligent automation in various areas of application. Nevertheless, the nature of the organization of these environments, their decentralization, heterogeneity, and dynamic connectivity create major security risks, such as unauthorized access, lateral movement attacks, identity spoofing, and insider threats. This is because traditional perimeter-based security models are now not enough to meet these risks, and the principles of Zero-Trust Security (ZTS) should be adopted in line with the idea of never trust and always verify. The paper presents a full Zero-Trust Security Model design that is specific to integrated cloud-edge-IoT environments that include identity-based authentication, trust assessment, device posture checking, micro-segmentation and context-based access control. The framework suggested uses the concept of artificial intelligence and behavioural analytics to effectively measure the level of risk and implement dynamic security policies on a real-time basis. Moreover, the mechanisms of trust control and safe federated identity are built on blockchain to provide tamper-resistant authentication and decentralized trust validation. The architecture is built to offer the end-to-end visibility, fine-grained access control, and resilience against advanced persistent threats. There is also an experimental assessment showing that threat detection accuracy, reduced attack surface, and resilience of systems are highly improved under experimental evaluation as compared to the traditional security models. The suggested Zero-Trust is a scalable, flexible, and resilient security paradigm to secure next-generation distributed computing systems, secure and trustful deployment of cloud, edge, and IoT applications.",2026,,,,,
screen-015,Toward Scalable and Sustainable Detection Systems: A Behavioural Taxonomy and Utility-Based Framework for Security Detection in IoT and IIoT,"Resource-constrained IoT and IIoT systems require detection architectures that balance accuracy with energy efficiency, scalability, and contextual awareness. This paper presents a conceptual framework informed by a systematic review of energy-aware detection systems (XDS), unifying intrusion and anomaly detection systems (IDS and ADS) within a single framework. The proposed taxonomy captures six key dimensions: energy-awareness, adaptivity, modularity, offloading support, domain scope, and attack coverage. Applying this framework to the recent literature reveals recurring limitations, including static architectures, limited runtime coordination, and narrow evaluation settings. To address these challenges, we introduce a utility-based decision model for multi-layer task placement, guided by operational metrics such as energy cost, latency, and detection complexity. Unlike review-only studies, this work contributes both a synthesis of current limitations and the design of a novel six-dimensional taxonomy and utility-based layered architecture. The study concludes with future directions that support the development of adaptable, sustainable, and context-aware XDS architectures for heterogeneous environments.",2025,,,,,
screen-016,C-Shield: LLM-Enhanced Cybersecurity Platform for Intrusion Detection in Kubernetes Clusters,"A holistic solution for intrusion detection in Kubernetes clusters is presented, combining multi-layer monitoring with selective LLM-based analysis. Statistical and rule-based detectors first identify suspicious activity and selectively trigger on-demand LLM reasoning to estimate threat probability and classify attack behavior, producing natural language explanations. The system is validated using realistic attack scenarios such as network flooding, port scanning, authentication abuse, and privilege escalation on vulnerable containerized services, demonstrating how cross-layer threat indicators and selective LLM reasoning support accurate security incident interpretation.",2026,,,,,
screen-017,vNIDS: Towards Elastic Security with Safe and Efficient Virtualization of Network Intrusion Detection Systems,"Traditional Network Intrusion Detection Systems (NIDSes) are generally implemented on vendor proprietary appliances or middleboxes with poor versatility and flexibility. Emerging Network Function Virtualization (NFV) and Software-Defined Networking (SDN) technologies can virtualize NIDSes and elastically scale them to deal with attack traffic variations. However, such an elasticity feature must not come at the cost of decreased detection effectiveness and expensive provisioning. In this paper, we propose an innovative NIDS architecture, vNIDS, to enable safe and efficient virtualization of NIDSes. vNIDS addresses two key challenges with respect to effective intrusion detection and non-monolithic NIDS provisioning in virtualizing NIDSes. The former challenge is addressed by detection state sharing while minimizing the sharing overhead in virtualized environments. In particular, static program analysis is employed to determine which detection states need to be shared. vNIDS addresses the latter challenge by provisioning virtual NIDSes as microservices and employing program slicing to partition the detection logic programs so that they can be executed by each microservice separately. We implement a prototype of vNIDS to demonstrate the feasibility of our approach. Our evaluation results show that vNIDS could offer both effective intrusion detection and efficient provisioning for NIDS virtualization.",2018,,,,,
screen-018,Designing Resilient and Scalable Cloud-Native Frameworks for Generative AI Content Production,"The high uptake of Generative Artificial Intelligence (GenAI) to create large-scale content has escalated the necessity to replace fragile, inelastic, costly cloud-native systems with strong, resilient, and cost-effective ones. The proposed study suggests a Resilient and Scalable Cloud-Native Framework (RSCF) that is based on Generative AI content production workloads, combining microservice architecture, container orchestration, event-driven pipelines, and intelligent resource scheduling. It is designed in five main layers, which include: (1) API Gateway and Access Control Layer to invoke secure models, (2) Model Serving Layer to use containerized endpoints to invoke models, support auto-scaling, (3) Data and Feature Engineering Layer to support distributed storage and real-time preprocessing, (4) Orchestration and Workflow Layer to provide task coordination, and (5) Observability and Governance Layer to monitor, log, comply, and optimize costs.",2025,,,,,
screen-019,Probabilistic Estimation of Threat Intrusion in Embedded Systems for Runtime Detection,"With billions of networked connected embedded systems, the security historically provided by the isolation of embedded systems is no longer sufficient. Millions of new malware are created every month and zero-day attacks are becoming an increasing concern. Therefore, proactive security measures are no longer enough to provide protection to embedded systems. Instead, reactive approaches that detect attacks that can circumvent the proactive defenses and react upon them are needed. Anomaly-based detection is a common reactive approach employed to detect malware by monitoring anomalous deviations in the system execution. Timing-based anomaly detection detects malware by monitoring the system's internal timing, which offers unique protection against mimicry malware compared to sequence-based anomaly detection. However, previous timing-based anomaly detection methods focus on each operation independently at the granularity of tasks, function calls, system calls, or basic blocks. These approaches neither consider the entire software execution path nor provide a quantitative estimate of the presence of malware. This article presents a novel model for specifying the normal timing for execution paths in software applications using cumulative distribution functions of timing data in sliding execution windows. A probabilistic formulation is used to estimate the presence of malware for individual operations and sequences of operations within the paths. Operation and path-based thresholds are determined during the training process to minimize false positives. Finally, the article presents an optimization method to assist system developers in selecting which operations to monitor based on different optimization goals and constraints. Experimental results with a smart connected pacemaker, an unmanned aerial vehicle, and seven sophisticated mimicry malware implemented at different levels demonstrate the effectiveness of the proposed approach.",2021,,,,,
screen-020,AI-Driven Observability for Managing Security Complexity in Cloud-native Microservices and Containerized Environments,"This study investigates security-visibility challenges in cloud-native microservices by analysing adversarial behaviours using the MITRE ATT&CK container-techniques dataset, assessing observability limitations through time-series telemetry-coverage quantification applied to the OpenTelemetry Demo dataset, and proposing an AI-driven observability model for security anomaly detection. The proposed method employs an unsupervised deep autoencoder trained on integrated telemetry from the Google Cloud Microservices Demo and Kubernetes audit logs to learn normal system behaviour and identify anomalies, defined as statistically significant deviations from established baseline telemetry patterns associated with validated security events. Model performance was evaluated using a hold-out train–test validation protocol across combined multi-source telemetry datasets. Results show that the AI-driven observability model improves detection effectiveness compared with a baseline rule-based monitoring approach, increasing recall from 54% to 84%, reducing false negatives from 690 to 240, and substantially lowering average detection latency under comparable operational conditions. These findings demonstrate that AI-enabled observability enhances detection accuracy, reduces monitoring blind spots and supports more timely operational decision-making through improved multi-layer telemetry correlation. Accordingly, the study recommends unified telemetry pipelines, consistent instrumentation across microservices, adoption of unsupervised anomaly-detection models and the development of AI-observability standards to improve the reliability and security of cloud-native systems.",2026,,,,,
screen-021,Implementation and Evaluation of a Zero-Trust Security Model in Distributed Industrial Networks,"In the context of Industry 4.0, the increasing integration of IoT devices, Digital Twins, and cyber-physical systems has introduced significant new challenges in terms of cybersecurity. Traditional security models have proven to be ineffective, as they can no longer successfully respond to the ever-evolving threats emerging daily, due to the dynamic nature of distributed industrial environments. This study presents the implementation and evaluation of a Zero-Trust security model in distributed industrial networks, using the BeagleBone AI-64 development board for access control, monitoring, and anomaly detection. The proposed architecture enforces strict authentication and authorization policies, continuous verification, and micro-segmentation to mitigate risks such as unauthorized access, data breaches, and cyberattacks. Performance evaluations demonstrate that the security model provides robust protection with minimal impact on system operability. This study highlights the benefits of Zero-Trust in securing industrial infrastructures while also identifying optimization areas to enhance system efficiency.",2025,,,,,
screen-022,A Zero-Trust Security Architecture for 6G-Enabled Mobile Banking and Peer-to-Peer Payment Networks,"The advent of sixth-generation (6 G) networks is redefining mobile banking and peer-to-peer (P2P) payment systems, characterized by low latency and high connectivity, while also increasing the security threat. The classic perimeterbased security model does not fit a dynamic and decentralized environment. In this regard, a Zero-Trust Security Architecture for the mobile financial network enabled by the 6 G network will be presented, enabling behavior-aware fraud detection via the Zero-Trust Session Graph Transformer Network (ZT-SGTNet). Continuous verification is performed by enforcing the framework through user activity modeling sessions, based on the principles of zero trust. Each transaction session will be represented as a directed heterogeneous graph to capture structural, temporal, and behavioral dependencies in the data. An experimental study using a large-scale benchmark data set from the prominent PaySim platform shows that the traditional ML baselines are outperformed by the proposed method across all metrics, including accuracy (99 %), precision, recall, and F1-score. We verify the potential to guarantee next-generation 6 G mobile payment systems in an environment with zero trust principles by considering graphs at the session level alone.",2026,,,,,
screen-023,Design of Continuous Identity Authentication Model for Boundary Security Devices under Zero Trust Architecture,"This paper proposes a user behavior authentication model based on multimodal deep learning, aiming to improve continuous identity verification under zero trust architecture. The model integrates keyboard typing sequence and mouse trajectory data, using deep learning techniques to extract personalized behavior features, thus enhancing the accuracy and robustness of identity authentication. In the experiments, a dataset consisting of 1500 hours of user behavior data and various attack samples was used. The model achieved an AUC value of 0.902, significantly outperforming unimodal methods in terms of identity authentication performance. At a 1% false positive rate, the detection rate reached 98.5%, surpassing benchmark methods. By introducing a reinforcement learning-optimized dynamic authentication threshold mechanism, the system can adjust its authentication strategy based on varying security risks, ensuring stricter authentication requirements in high-risk environments. Ablation studies show that the cross-modal fusion module plays a key role in enhancing defense against imitation attacks. The experimental results demonstrate that the authentication system not only offers strong security but also meets real-time requirements, adapting to complex network environments and providing a reliable solution for identity verification in zero trust architecture.",2025,,,,,
screen-024,Integrating Machine Learning into the Security of Containerized Workloads,"Containers and containerized workloads have revolutionized the software development lifecycle by enabling faster development cycles, better resource utilization, and seamless integration with DevOps and CI/CD pipelines. They also facilitate efficient cloud migration and multi-cloud deployments. However, the dynamic and ephemeral nature of containers introduces new and evolving security risks, such as runtime threats, misconfigurations, and vulnerabilities in the supply chain. Traditional security mechanisms often fall short in these highly dynamic environments. This study investigates the integration of machine learning (ML) techniques into container security frameworks to detect anomalies, predict potential threats, and automate response mechanisms. By analyzing behavioral patterns in containerized environments, ML enhances threat detection accuracy, reduces response time, and improves overall system resilience. The findings highlight the potential of ML-driven solutions to proactively safeguard container ecosystems in real-time.",2025,,,,,
screen-025,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,"Microservices architecture emerges as a promising software design approach that provides large scale software systems with flexibility, scalability and fault tolerance. Moreover, it is considered a suitable design to be implemented using software containers provided with several cloud providers. However, microservices suffer from several security challenges that hinder its progress. The concept of microservices is to break down the system functionality to a number of small coherent services. Hence, using microservices as a design approach increases the security risks by expanding the risk surface. In contrast to microservices, monolithic applications are implemented as a bulk of codes using single programming language. Such environment has several drawbacks related to flexibility and maintainability, but limits security issues. On the other hand, microservices implementation uses several programming languages and frameworks to implement small units of system functionality. Such environment opens the door to new critical security issues. The proposed work introduces the problem of securing microservices and provides a novel approach to protect microservices applications from masquerade attacks. The proposed framework also provides high protection to users from malicious services. The framework was implemented using 150 software containers to define users' HTTP requests and a set of 20 microservices were tested to proof its applicability and benefits",2022,,,,,
screen-026,Securing Microservices: Challenges and Solutions,"Microservices architecture, described with characteristics of being distributed and loosely coupled, has become popular in recent times for software development. It offers flexibility, scalability, and a fault tolerance that accompanies a different set of security challenges. The introduction of microservices architecture shifted the application development pattern as well as deployment pattern because the monolithic systems were broken down into smaller, independent, and scalable services, but its nature of being distributed generated certain specific security issues. This research paper explores security vulnerabilities related to microservices, analyzes specific problems they raise, and seeks to know the methods and best practices for reducing these threats. Discussed subjects include authentication and authorization, secure communication, data protection, service segregation, monitoring, and incident response. This paper discusses the critical security threats arising with microservices applications and those that include increased attack surface, API security, data protection, and IAM. We discuss the root cause of these weaknesses and then present a feasible approach to combating them. Then we proceed further and involve discussions about security as code and DevSecOps practices and new technologies like blockchain and zero-trust architecture for protecting microservices environments. Organizations can enjoy the benefits of microservices and still keep their applications safe from any kind of threat by identifying these challenges and applying suitable security strategies.",2025,,,,,
screen-027,An Empirical Study of Security Practices for Microservices Systems,"Despite the numerous benefits of microservices systems, security has been a critical issue in such systems. Several factors explain this difficulty, including a knowledge gap among microservices practitioners on properly securing a microservices system. To (partially) bridge this gap, we conducted an empirical study. We first manually analyzed 861 microservices security points, including 567 issues, 9 documents, and 3 wiki pages from 10 GitHub open-source microservices systems and 306 Stack Overflow posts concerning security in microservices systems. In this study, a microservices security point is referred to as""a GitHub issue, a Stack Overflow post, a document, or a wiki page that entails 5 or more microservices security paragraphs"". Our analysis led to a catalog of 28 microservices security practices. We then ran a survey with 74 microservices practitioners to evaluate the usefulness of these 28 practices. Our findings demonstrate that the survey respondents affirmed the usefulness of the 28 practices. We believe that the catalog of microservices security practices can serve as a valuable resource for microservices practitioners to more effectively address security issues in microservices systems. It can also inform the research community of the required or less explored areas to develop microservices-specific security practices and tools.",2021,,,,,
screen-028,Improving Microservices Security,"To support fle xibility and scalability, 5 G networks have embraced microservice-based architectures, which require secure and efficient inter-service communication. This is managed by the service mesh layer, which is now a growing target for cyberattacks. While existing platforms like Istio and NGINX use mutual TLS (mTLS) to secure communications, mTLS imposes considerable resource overhead, undermining the goals of scalability and lightweight operation. To overcome this challenge, we propose an Encryption as a Service (EaaS) framework for Kubernetes that mitigates common attacks such as man-in-the-middle, distributed denial-of-service (DDoS), and eavesdropping. Experimental analysis shows that EaaS significantly improves response time and reduces adversary success compared to traditional microservice-side cryptographic handling, with gains varying across different scenarios and cryptographic/deception configurations. While higher EaaS replication slightly increases CPU and memory usage, it leads to better security outcomes and faster service performance. The successful real-world implementation and deployment of the EaaS framework further corroborated these fin dings.",2025,,,,,
