legacy_triple_index,subject,relation,object,publication_year,evidence_quote,provenance_recovery_status,paper_id,chunk_index,source_title,source_modality,sentence_offset,model_name,prompt_version
10,Systematic Literature Review,ADDRESSES,security in microservices,2022,"In this work, a Systematic Literature Review is carried out to answer questions on this subject, involving aspects of the challenges, mechanisms and technologies that deal with authentication and authorization in microservices.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
11,OAuth 2.0,ADDRESSES,security in microservices,2022,"To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
12,OpenID Connect,ADDRESSES,security in microservices,2022,"To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
13,API Gateway,ADDRESSES,security in microservices,2022,"To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
14,JWT,ADDRESSES,security in microservices,2022,"To face the problems, mechanisms such as OAuth 2.0, OpenID Connect, API Gateway and JWT are used.",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
15,Systematic Literature Review,PRODUCES,lack of practical studies on microservice security,2022,"It was found that there are few studies dealing with the subject, especially in practical order",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
16,Systematic Literature Review,PRODUCES,lack of open-source technologies implementing security mechanisms,2022,"Finally, it was found that there are few open-source technologies that implement the researched mechanisms",unique_normalized_exact_quote_match,d64c1a7d9f3e9794a171e81f0d83fff2f1311457,0,Authentication and Authorization in Microservices Architecture: A Systematic Literature Review,abstract,,,
17,systematic mapping study,PRODUCES,321 articles,2019,The study yielded 321 articles,unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,,,
18,systematic mapping study,PRODUCES,key findings,2019,"Key findings are that (i) the studies mention 18 security mechanisms; (ii) the most mentioned security mechanisms are authentication, authorization and credentials; and (iii) almost 2/3 of security mechanisms focus on stopping or mitigating attacks, but none on recovering from them.",unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,,,
19,experiments and case studies,APPLIED_TO,microservices security research,2019,experiments and case studies are the most used empirical strategies in microservices security research,unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,,,
20,reuse of existing architectural knowledge,ADDRESSES,security problems in microservices-based systems,2019,reuse of existing architectural knowledge to address security problems in microservices-based systems,unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,,,
21,current literature,LACKS,guidance on security mechanisms,2019,current literature does not guide developers about which mechanisms are actually used by developers of microservicesbased systems,unique_normalized_exact_quote_match,c8b613463e55f47a32275accd071a2fb5e876ade,0,Security Mechanisms Used in Microservices-Based Systems: A Systematic Mapping,abstract,,,
22,Empirical study,USES,861 microservices security points,2021,"We first manually analyzed 861 microservices security points, including 567 issues, 9 documents, and 3 wiki pages from 10 GitHub open-source microservices systems and 306 Stack Overflow posts concerning security in microservices systems.",unique_normalized_exact_quote_match,c3c98df61cc4afeb7e9fc6af6d91c1a43b3bd887,0,An Empirical Study of Security Practices for Microservices Systems,abstract,,,
23,Manual analysis,PRODUCES,Catalog of 28 microservices security practices,2021,Our analysis led to a catalog of 28 microservices security practices.,unique_normalized_exact_quote_match,c3c98df61cc4afeb7e9fc6af6d91c1a43b3bd887,0,An Empirical Study of Security Practices for Microservices Systems,abstract,,,
24,Survey with 74 microservices practitioners,EVALUATES_ON,Catalog of 28 microservices security practices,2021,We then ran a survey with 74 microservices practitioners to evaluate the usefulness of these 28 practices.,unique_normalized_exact_quote_match,c3c98df61cc4afeb7e9fc6af6d91c1a43b3bd887,0,An Empirical Study of Security Practices for Microservices Systems,abstract,,,
25,Catalog of 28 microservices security practices,ADDRESSES,Security issues in microservices systems,2021,We believe that the catalog of microservices security practices can serve as a valuable resource for microservices practitioners to more effectively address security issues in microservices systems.,unique_normalized_exact_quote_match,c3c98df61cc4afeb7e9fc6af6d91c1a43b3bd887,0,An Empirical Study of Security Practices for Microservices Systems,abstract,,,
26,analysis techniques,ADDRESSES,security smells,2023,analysis techniques to automatically detect security smells,unique_normalized_exact_quote_match,301c433043fb8e992a0c36e2bb0a2032258e04dd,0,KubeHound: Detecting Microservices' Security Smells in Kubernetes Deployments,abstract,,,
27,KubeHound,USES,analysis techniques,2023,"KubeHound, an extensible prototype tool for automatically detecting security smells in microservice applications, and which already features a selected subset of the discussed analyses",unique_normalized_exact_quote_match,301c433043fb8e992a0c36e2bb0a2032258e04dd,0,KubeHound: Detecting Microservices' Security Smells in Kubernetes Deployments,abstract,,,
28,KubeHound,ADDRESSES,security smells,2023,"KubeHound, an extensible prototype tool for automatically detecting security smells",unique_normalized_exact_quote_match,301c433043fb8e992a0c36e2bb0a2032258e04dd,0,KubeHound: Detecting Microservices' Security Smells in Kubernetes Deployments,abstract,,,
29,KubeHound,EVALUATES_ON,third-party applications,2023,"applying it to existing, third-party applications",unique_normalized_exact_quote_match,301c433043fb8e992a0c36e2bb0a2032258e04dd,0,KubeHound: Detecting Microservices' Security Smells in Kubernetes Deployments,abstract,,,
30,systematic literature review,APPLIED_TO,inter-service security in microservice architectures,2024,"This paper presents a systematic literature review, analyzing 54 publications specifically in the context of security threats and mitigation strategies within the area of inter-service security in microservice architectures.",unique_normalized_exact_quote_match,b81815de13660b221f336381d9e9ce068c5eab50,0,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,abstract,,,
31,inter-service authentication and communication,LACKS,comprehensive analysis on specific security threats,2024,"There is a notable lack of comprehensive analysis on specific security threats, particularly in inter-service authentication and communication.",unique_normalized_exact_quote_match,b81815de13660b221f336381d9e9ce068c5eab50,0,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,abstract,,,
32,standardized taxonomy in microservice security,ADDRESSES,inconsistencies in the literature,2024,"It also underscores the necessity for a standardized taxonomy in microservice security to clarify terminology and consolidate best practices, addressing inconsistencies in the literature",unique_normalized_exact_quote_match,b81815de13660b221f336381d9e9ce068c5eab50,0,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,abstract,,,
33,systematic literature review,PRODUCES,"majority of studies focus on presenting methods, models, and guidelines for microservice security",2024,"We observed that the majority of studies focus on presenting methods, models, and guidelines for microservice security, with a significant portion validating these approaches.",unique_normalized_exact_quote_match,b81815de13660b221f336381d9e9ce068c5eab50,0,A Systematic Literature Review of Inter-Service Security Threats and Mitigation Strategies in Microservice Architectures,abstract,,,
34,proposed method for access control,ADDRESSES,security risks of microservices,2023,The objective is to propose a method for access control that ensures the enhanced security of microservices.,unique_normalized_exact_quote_match,c8a17e3b4d83d3b81fcda5c84b39fab34a06d481,0,Enhancing Microservices Security with Token-Based Access Control Method,abstract,,,
35,proposed method for access control,IMPROVES,security of decentralized microservices,2023,the proposed method enhanced the security of decentralized microservices,unique_normalized_exact_quote_match,c8a17e3b4d83d3b81fcda5c84b39fab34a06d481,0,Enhancing Microservices Security with Token-Based Access Control Method,abstract,,,
36,proposed method for access control,EVALUATES_ON,decentralized architectures of the microservices,2023,The proposed method was experimentally tested and validated in comparison to the centralized and decentralized architectures of the microservices.,unique_normalized_exact_quote_match,c8a17e3b4d83d3b81fcda5c84b39fab34a06d481,0,Enhancing Microservices Security with Token-Based Access Control Method,abstract,,,
37,path-based anomaly detection and access control infrastructure,IMPROVES,resiliency of microservice-based applications,2023,"To improve the resiliency of microservice-based applications, many of which store sensitive data, we propose a novel, path-based anomaly detection and access control infrastructure",unique_normalized_exact_quote_match,9acf4b31c960f7be7f9aa974a829c50ebd48b7e9,0,Sidecar-based Path-aware Security for Microservices,abstract,,,
38,path-based anomaly detection and access control infrastructure,USES,trusted proxies,2023,"We propose leveraging trusted proxies deployed alongside each service for request inspection, anomaly detection and signed token propagation for end-user path validation.",unique_normalized_exact_quote_match,9acf4b31c960f7be7f9aa974a829c50ebd48b7e9,0,Sidecar-based Path-aware Security for Microservices,abstract,,,
39,path-based anomaly detection and access control infrastructure,APPLIED_TO,microservice architectures,2023,"To improve the resiliency of microservice-based applications, many of which store sensitive data, we propose a novel, path-based anomaly detection and access control infrastructure",unique_normalized_exact_quote_match,9acf4b31c960f7be7f9aa974a829c50ebd48b7e9,0,Sidecar-based Path-aware Security for Microservices,abstract,,,
40,Pomegranate,ADDRESSES,security issues in microservices,2023,This paper presents a fully automated test tool suite that can help developers address security issues in microservices and resolve them.,unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,,,
41,Pomegranate,COMBINES,open-source scanning tools,2023,encapsulating open-source scanning tools into one suite,unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,,,
42,Pomegranate,USES,Design Science,2023,"To develop Pomegranate, we employed Design Science",unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,,,
43,Pomegranate,APPLIED_TO,microservices,2023,help developers to address most security issues in microservices,unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,,,
44,security scanning tools,LACKS,comprehensive security coverage,2023,none individually is sufficient to cover all security problems in microservices,unique_normalized_exact_quote_match,3d0652271dcd2d7dae893a65624387d471f17d15,0,Automatic Detection of Security Deficiencies and Refactoring Advises for Microservices,abstract,,,
45,containers,IMPROVES,agility in development and deployment,2020,agility in development and deployment further increased by containers,unique_normalized_exact_quote_match,1c63a43ebef0b112e86a455a34aee78b08cca035,0,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,abstract,,,
46,host-based IDSes,APPLIED_TO,container environments,2020,Our preliminary research shows that host-based IDSes are applicable in container environments.,unique_normalized_exact_quote_match,1c63a43ebef0b112e86a455a34aee78b08cca035,0,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,abstract,,,
47,"methodologies for detection, tolerance and mitigation of security intrusions",IMPROVES,security of microservice systems,2020,"intends to advance the security of microservice systems through research and improvement of methodologies for detection, tolerance and mitigation of security intrusions",unique_normalized_exact_quote_match,1c63a43ebef0b112e86a455a34aee78b08cca035,0,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,abstract,,,
48,"methodologies for detection, tolerance and mitigation of security intrusions",ADDRESSES,security intrusions,2020,"methodologies for detection, tolerance and mitigation of security intrusions",unique_normalized_exact_quote_match,1c63a43ebef0b112e86a455a34aee78b08cca035,0,Improving the Security of Microservice Systems by Detecting and Tolerating Intrusions,abstract,,,
49,Microservices,USES,REST API,2018,with implementation via the Rest API,unique_normalized_exact_quote_match,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,0,Microservices API Security,abstract,,,
50,Microservices,USES,Agile methods,2018,"by adapting to Agile methods, DevOps culture, cloud, Linux containers, and Continuous Integration/ Continuous Development methods",unique_normalized_exact_quote_match,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,0,Microservices API Security,abstract,,,
51,Microservices,USES,DevOps culture,2018,"by adapting to Agile methods, DevOps culture, cloud, Linux containers, and Continuous Integration/ Continuous Development methods",unique_normalized_exact_quote_match,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,0,Microservices API Security,abstract,,,
52,Microservices,USES,Linux containers,2018,"by adapting to Agile methods, DevOps culture, cloud, Linux containers, and Continuous Integration/ Continuous Development methods",unique_normalized_exact_quote_match,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,0,Microservices API Security,abstract,,,
53,Microservices,USES,Continuous Integration/ Continuous Development methods,2018,"by adapting to Agile methods, DevOps culture, cloud, Linux containers, and Continuous Integration/ Continuous Development methods",unique_normalized_exact_quote_match,e5188350d3c9a3958c766fd15a5d7f881e7a6b77,0,Microservices API Security,abstract,,,
54,REPLICAWATCHER,APPLIED_TO,microservices-based environments,2024,"We propose a novel, training-less approach to monitoring microservices-based environments. Our system, R EPLI - CA W ATCHER , observes the behavior of identical container instances",unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,,,
55,REPLICAWATCHER,ADDRESSES,normality shifts,2024,our approach is resilient against normality shifts and maintains its effectiveness without the necessity for retraining.,unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,,,
56,anomaly-based intrusion detection systems,USES,pre-established baselines,2024,anomaly-based intrusion detection systems rely on comprehensive pre-established baselines for effectively identifying suspicious activities.,unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,,,
57,REPLICAWATCHER,PRODUCES,precision,2024,achieving an average precision of 91.08%,unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,,,
58,REPLICAWATCHER,PRODUCES,recall,2024,recall of 98.35%,unique_normalized_exact_quote_match,c0bcd3e6d71c327fc64950f61f58c4c1b53d9fe5,0,REPLICAWATCHER: Training-less Anomaly Detection in Containerized Microservices,abstract,,,
59,microservice architecture,USES,Thrift,2022,"microservice architecture, which is a small or even an independent microprocess that interacts, acts, and responds to messages via lightweight technologies such as Thrift",unique_normalized_exact_quote_match,6e6effb33ae9f75c9f92a5349b2bf897163b794c,0,"Security, Privacy and Challenges in Microservices Architecture and Cloud Computing- Survey",abstract,,,
60,microservice architecture,USES,HTTP,2022,"microservice architecture, which is a small or even an independent microprocess that interacts, acts, and responds to messages via lightweight technologies such as Thrift, HTTP",unique_normalized_exact_quote_match,6e6effb33ae9f75c9f92a5349b2bf897163b794c,0,"Security, Privacy and Challenges in Microservices Architecture and Cloud Computing- Survey",abstract,,,
61,microservice architecture,USES,REST API,2022,"microservice architecture, which is a small or even an independent microprocess that interacts, acts, and responds to messages via lightweight technologies such as Thrift, HTTP, or REST API",unique_normalized_exact_quote_match,6e6effb33ae9f75c9f92a5349b2bf897163b794c,0,"Security, Privacy and Challenges in Microservices Architecture and Cloud Computing- Survey",abstract,,,
62,distributed tracing,ADDRESSES,cyber-security attacks,2021,"In this paper, we used distributed tracing for detecting cyber-security attacks.",unique_normalized_exact_quote_match,8701b69157ad4e20d160586ba1ce9a840d8fd947,0,Detecting Cyber Security Attacks against a Microservices Application using Distributed Tracing,abstract,,,
63,distributed tracing,APPLIED_TO,performance management of microservices applications,2021,Distributed tracing is normally used for performance management of microservices applications.,unique_normalized_exact_quote_match,8701b69157ad4e20d160586ba1ce9a840d8fd947,0,Detecting Cyber Security Attacks against a Microservices Application using Distributed Tracing,abstract,,,
64,anomaly detection,EVALUATES_ON,password guessing attack,2021,This approach is evaluated using a password guessing attack.,unique_normalized_exact_quote_match,8701b69157ad4e20d160586ba1ce9a840d8fd947,0,Detecting Cyber Security Attacks against a Microservices Application using Distributed Tracing,abstract,,,
65,proposed method,USES,LEMMA,2023,The proposed method relies on LEMMA to model microservice applications,unique_normalized_exact_quote_match,b8255053e7a184b814f4ba91f60f2876fc2c59c9,0,"Towards Resolving Security Smells in Microservices, Model-Driven",abstract,,,
66,proposed method,EXTENDS,LEMMA,2023,suitably extending LEMMA itself to enable the modeling of microservices’ security aspects.,unique_normalized_exact_quote_match,b8255053e7a184b814f4ba91f60f2876fc2c59c9,0,"Towards Resolving Security Smells in Microservices, Model-Driven",abstract,,,
67,proposed method,ADDRESSES,security smells,2023,automatically detect security smells in modeled microservice applications and recommend the refactorings known to resolve the identiﬁed security smells.,unique_normalized_exact_quote_match,b8255053e7a184b814f4ba91f60f2876fc2c59c9,0,"Towards Resolving Security Smells in Microservices, Model-Driven",abstract,,,
68,proposed method,PRODUCES,proof-of-concept implementation,2023,"To assess the feasibility of the proposed method, this paper also introduces a proof-of-concept implementation",unique_normalized_exact_quote_match,b8255053e7a184b814f4ba91f60f2876fc2c59c9,0,"Towards Resolving Security Smells in Microservices, Model-Driven",abstract,,,
69,µDetector,APPLIED_TO,microservice-based applications,2023,"This paper presents µDetector, an intrusion detection tool for microservice-based applications.",unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
70,µDetector,USES,intrusion detection techniques,2023,This tool uses intrusion detection techniques from previous research and automates their functioning for Kubernetes and KubeEdge deployments.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
71,µDetector,APPLIED_TO,Kubernetes,2023,automates their functioning for Kubernetes and KubeEdge deployments.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
72,µDetector,USES,anomaly-based intrusion detection,2023,transfers them over to the IDS module that performs anomaly-based intrusion detection.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
73,µDetector,EVALUATES_ON,functional testing,2023,µDetector was validated using functional testing and performance and scalability tests.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
74,microservice-based applications,IMPROVES,scalability,2023,improving flexibility and scalability in dynamic DevOps environments that leverage containers and orchestration tools such as Kubernetes.,unique_normalized_exact_quote_match,59dc7f786a0499b739ac1323ba1eda7ac860c63e,0,µDetector: Automated Intrusion Detection for Microservices,abstract,,,
75,continuous security assessments,APPLIED_TO,vulnerability detection,2022,continuous security assessments are used for vulnerability detection.,unique_normalized_exact_quote_match,8ba88dd1693e05285489e811f8171ea3b6bb2166,0,Microservices Security Challenges and Approaches,abstract,,,
76,patching detected vulnerabilities,ADDRESSES,security attacks,2022,"Detected vulnerabilities are thereafter patched, essentially reducing the chances for security attacks.",unique_normalized_exact_quote_match,8ba88dd1693e05285489e811f8171ea3b6bb2166,0,Microservices Security Challenges and Approaches,abstract,,,
77,PSRD model,ADDRESSES,privacy-related concerns in microservices architecture,2021,we address the need for identifying any privacy-related concerns within the microservices architecture by building a Privacy and Security Risk Detection (PSRD) model,unique_normalized_exact_quote_match,e9be9b23ca5818a564de3cc308b1dc0695f068f5,0,Detecting Security and Privacy Risks in Microservices End-to-End Communication Using Neural Networks,abstract,,,
78,PSRD model,USES,distributed tracing,2021,building a Privacy and Security Risk Detection (PSRD) model that is based on distributed tracing,unique_normalized_exact_quote_match,e9be9b23ca5818a564de3cc308b1dc0695f068f5,0,Detecting Security and Privacy Risks in Microservices End-to-End Communication Using Neural Networks,abstract,,,
79,PSRD model,USES,fully connected neural network,2021,We employ a fully connected neural network (FCNN) to classify the extent of the vulnerabilities that may occur within the path of a discovered service request.,unique_normalized_exact_quote_match,e9be9b23ca5818a564de3cc308b1dc0695f068f5,0,Detecting Security and Privacy Risks in Microservices End-to-End Communication Using Neural Networks,abstract,,,
80,PSRD model,APPLIED_TO,microservices architecture,2021,identifying any privacy-related concerns within the microservices architecture by building a Privacy and Security Risk Detection (PSRD) model,unique_normalized_exact_quote_match,e9be9b23ca5818a564de3cc308b1dc0695f068f5,0,Detecting Security and Privacy Risks in Microservices End-to-End Communication Using Neural Networks,abstract,,,
81,three data processing techniques,ADDRESSES,growing complexity and dynamicity of microservices,2023,"The growing complexity and dynamicity of microservices, combined with their ability to scale, present significant challenges to security monitoring tools. Integrating these tools into a DevSecOps pipeline is currently impractical, necessitating research into adaptive intrusion detection approaches. This paper introduces three data processing techniques",unique_normalized_exact_quote_match,c9be4435eb2cdf1dc5e18f473d51848690675487,0,Intrusion Detection for Scalable and Elastic Microservice Applications,abstract,,,
82,three data processing techniques,PRODUCES,reliable intrusion detection,2023,"These techniques manipulate data collected from active microservice replicas and feed it to algorithms, resulting in reliable intrusion detection even after scaling operations.",unique_normalized_exact_quote_match,c9be4435eb2cdf1dc5e18f473d51848690675487,0,Intrusion Detection for Scalable and Elastic Microservice Applications,abstract,,,
83,three data processing techniques,APPLIED_TO,intrusion detection tool,2023,"To evaluate these techniques, we integrate them into a state-of-the-art intrusion detection tool developed for microservice environments.",unique_normalized_exact_quote_match,c9be4435eb2cdf1dc5e18f473d51848690675487,0,Intrusion Detection for Scalable and Elastic Microservice Applications,abstract,,,
84,STIDE,EVALUATES_ON,microservice-based application,2023,"Their effectiveness is evaluated using two lightweight algorithms (STIDE and BoSC) with representative workloads, attacks, and a microservice-based application",unique_normalized_exact_quote_match,c9be4435eb2cdf1dc5e18f473d51848690675487,0,Intrusion Detection for Scalable and Elastic Microservice Applications,abstract,,,
85,BoSC,EVALUATES_ON,microservice-based application,2023,"Their effectiveness is evaluated using two lightweight algorithms (STIDE and BoSC) with representative workloads, attacks, and a microservice-based application",unique_normalized_exact_quote_match,c9be4435eb2cdf1dc5e18f473d51848690675487,0,Intrusion Detection for Scalable and Elastic Microservice Applications,abstract,,,
86,threat modeling framework,USES,STRIDE,2023,By leveraging STRIDE and other threat mod- eling methodologies,unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
87,continuous threat modeling,USES,OWASP Threat Dragon,2023,"integration of automated security tools, such as OWASP Threat Dragon and IriusRisk, to perform continuous threat modeling",unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
88,continuous threat modeling,USES,IriusRisk,2023,"integration of automated security tools, such as OWASP Threat Dragon and IriusRisk, to perform continuous threat modeling",unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
89,threat modeling framework,APPLIED_TO,DevOps environment,2023,demonstrates the application of our framework in a real-world DevOps environment,unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
90,automated threat modeling,IMPROVES,detection rates,2023,automated threat modeling improves detection rates by 30%,unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
91,threat modeling framework,ADDRESSES,API exploitation,2023,"we identify key vulnerabilities such as API exploitation, interservice communication risks, and dependency tampering",unique_normalized_exact_quote_match,94f4d0c7370040b4601b7079af05a360ae30f0a4,0,Microservices Security Threat Modelling in DevOps Pipelines,abstract,,,
92,proposed framework,ADDRESSES,masquerade attacks,2022,provides a novel approach to protect microservices applications from masquerade attacks.,unique_normalized_exact_quote_match,fb0262ce63a579b385fe11af143a4e3f43004429,0,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,abstract,,,
93,proposed framework,USES,software containers,2022,The framework was implemented using 150 software containers to define users' HTTP requests,unique_normalized_exact_quote_match,fb0262ce63a579b385fe11af143a4e3f43004429,0,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,abstract,,,
94,proposed framework,EVALUATES_ON,microservices,2022,a set of 20 microservices were tested to proof its applicability and benefits,unique_normalized_exact_quote_match,fb0262ce63a579b385fe11af143a4e3f43004429,0,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,abstract,,,
95,monolithic applications,LACKS,flexibility,2022,Such environment has several drawbacks related to flexibility and maintainability,unique_normalized_exact_quote_match,fb0262ce63a579b385fe11af143a4e3f43004429,0,Trusted Microservices: A Security Framework for Users' Interaction with Microservices Applications,abstract,,,
