item_id,left_entity,right_entity,entity_type,pair_kind,lexical_similarity
entity-pair-154,threat modeling,automated threat modeling,METHOD,merged_by_pipeline,75.0
entity-pair-155,data security,security attacks,CONCEPT,high_lexical_similarity_nonmerge,82.759
entity-pair-156,anomaly detection,real-time anomaly detection,CONCEPT,high_lexical_similarity_nonmerge,77.273
entity-pair-157,runtime vulnerabilities,security vulnerabilities,CONCEPT,high_lexical_similarity_nonmerge,76.596
entity-pair-158,real-time threat detection,real-time threat detection and response,CONCEPT,merged_by_pipeline,80.0
entity-pair-159,scalability,usability,METRIC,high_lexical_similarity_nonmerge,80.0
entity-pair-160,Open Policy Agent (OPA),Open Policy Agent (OPA) Gatekeeper,TOOL,high_lexical_similarity_nonmerge,80.702
entity-pair-161,cloud-native environment,container environments,CONCEPT,high_lexical_similarity_nonmerge,78.261
entity-pair-162,refactoring,Refactoring,METHOD,merged_by_pipeline,100.0
entity-pair-163,microservice intrusion detection,reliable intrusion detection,CONCEPT,high_lexical_similarity_nonmerge,80.0
entity-pair-164,machine learning,machine learning techniques,METHOD,merged_by_pipeline,74.419
entity-pair-165,anomaly detection models,unsupervised anomaly detection model,METHOD,high_lexical_similarity_nonmerge,80.0
entity-pair-166,container security,cloud and container security,CONCEPT,merged_by_pipeline,78.261
entity-pair-167,Throughput,throughput,METRIC,merged_by_pipeline,100.0
entity-pair-168,microservices systems,security of microservice systems,CONCEPT,high_lexical_similarity_nonmerge,79.245
entity-pair-169,application security,IoT applications,CONCEPT,high_lexical_similarity_nonmerge,77.778
entity-pair-170,Kubernetes based microservices,Kubernetes Microservices System,CONCEPT,merged_by_pipeline,78.689
entity-pair-171,securing microservices,securing microservices within enterprise settings,CONCEPT,merged_by_pipeline,61.972
entity-pair-172,security challenges in cloud-native environments,security challenges in edge-native containerized environments,CONCEPT,merged_by_pipeline,84.404
entity-pair-173,Two-Factor Authentication,multi-factor authentication,METHOD,merged_by_pipeline,88.462
entity-pair-174,anomaly detection,security anomaly detection,CONCEPT,merged_by_pipeline,79.07
entity-pair-175,modern containerized cloud microservices,container cloud and microservice architectures,CONCEPT,merged_by_pipeline,65.116
entity-pair-176,API Security,data security,CONCEPT,high_lexical_similarity_nonmerge,80.0
entity-pair-177,cloud-native systems,cloud-native and distributed systems,CONCEPT,merged_by_pipeline,71.429
entity-pair-178,response time,system response time,METRIC,high_lexical_similarity_nonmerge,78.788
entity-pair-179,multi-cloud microservices environments,SDN-microservices environments,CONCEPT,high_lexical_similarity_nonmerge,76.471
entity-pair-180,lateral movement,lateral movement attacks,CONCEPT,high_lexical_similarity_nonmerge,80.0
entity-pair-181,OAuth 2.1 with PKCE,OpenID with OAuth 2.0,METHOD,high_lexical_similarity_nonmerge,80.0
entity-pair-182,securing microservices,microservice intrusion detection,CONCEPT,merged_by_pipeline,44.444
entity-pair-183,microservices,microservice architecture,CONCEPT,merged_by_pipeline,63.158
entity-pair-184,machine learning,Machine Learning techniques,METHOD,merged_by_pipeline,74.419
entity-pair-185,Microservices framework,microservices-based architecture,METHOD,merged_by_pipeline,61.818
entity-pair-186,cloud-native operational systems,cloud-native security systems,CONCEPT,high_lexical_similarity_nonmerge,78.689
entity-pair-187,machine learning algorithms,reinforcement learning algorithms,METHOD,high_lexical_similarity_nonmerge,76.667
entity-pair-188,threat detection,threat detection F1-score,METRIC,high_lexical_similarity_nonmerge,78.049
entity-pair-189,DevSecOps practices,DevSecOps methodologies,METHOD,merged_by_pipeline,66.667
entity-pair-190,authentication mechanisms for microservices,secure authentication mechanism,CONCEPT,high_lexical_similarity_nonmerge,78.378
entity-pair-191,API gateway security,API gateway security mechanism,METHOD,merged_by_pipeline,80.0
entity-pair-192,deep neural network,Graph Neural Networks,METHOD,high_lexical_similarity_nonmerge,80.0
entity-pair-193,attribute-based access control,Attribute-Based Access Control,METHOD,merged_by_pipeline,100.0
entity-pair-194,container security,security concerns,CONCEPT,high_lexical_similarity_nonmerge,80.0
entity-pair-195,securing microservices,security risks of microservices,CONCEPT,merged_by_pipeline,75.472
entity-pair-196,detection precision,detection rates,METRIC,high_lexical_similarity_nonmerge,76.471
entity-pair-197,cloud-native operational systems,cloud-native systems,CONCEPT,high_lexical_similarity_nonmerge,76.923
entity-pair-198,Extended Berkeley Packet Filter,extended Berkeley Packet Filter (eBPF),TOOL,merged_by_pipeline,89.855
entity-pair-199,cloud and container environments,container environments,CONCEPT,high_lexical_similarity_nonmerge,81.481
entity-pair-200,zero-trust access,zero-trust principles,CONCEPT,merged_by_pipeline,73.684
