item_id,entity_a,entity_b,entity_type,same_entity,related_but_distinct,unrelated,uncertain,reviewer_id,comments
entity-pair-037,API Security,security risks,CONCEPT,,,,,,
entity-pair-038,cloud-native and distributed systems,cloud-native security systems,CONCEPT,,,,,,
entity-pair-039,fifteen machine/deep learning models,machine learning models,METHOD,,,,,,
entity-pair-040,OAuth 2.1 authorization protocol,OAuth 2.0 authorization protocols,METHOD,,,,,,
entity-pair-041,container environments,Containerized Environments,CONCEPT,,,,,,
entity-pair-042,cloud-native systems,cloud-native CI/CD environments,CONCEPT,,,,,,
entity-pair-043,detection rate,detection rates,METRIC,,,,,,
entity-pair-044,Microservice Security Analysis,security microservices design and implementation,METHOD,,,,,,
entity-pair-045,detection accuracy,threat detection accuracy,METRIC,,,,,,
entity-pair-046,Kubernetes Microservices System,microservices systems,CONCEPT,,,,,,
entity-pair-047,runtime vulnerabilities,vulnerabilities,CONCEPT,,,,,,
entity-pair-048,Zero Trust controls,zero-trust access control,METHOD,,,,,,
entity-pair-049,AI-based approaches,anomaly-based approaches,METHOD,,,,,,
entity-pair-050,intrusion detection models,intrusion detection techniques,METHOD,,,,,,
entity-pair-051,microservices,microservice applications,CONCEPT,,,,,,
entity-pair-052,zero trust,Zero Trust architecture,METHOD,,,,,,
entity-pair-053,Microservices framework,microservices-based cloud-edge architecture,METHOD,,,,,,
entity-pair-054,securing microservices,security of microservice applications,CONCEPT,,,,,,
entity-pair-055,Latency,latency,METRIC,,,,,,
entity-pair-056,defense effectiveness,defense efficiency,METRIC,,,,,,
entity-pair-057,zero-trust architecture,Zero-Trust Architecture,CONCEPT,,,,,,
entity-pair-058,Istio service mesh,Service Mesh,TOOL,,,,,,
entity-pair-059,runtime vulnerabilities,Security Vulnerabilities,CONCEPT,,,,,,
entity-pair-060,microservice applications,security of microservice applications,CONCEPT,,,,,,
entity-pair-061,incident response time,incident response times,METRIC,,,,,,
entity-pair-062,security concerns,security needs,CONCEPT,,,,,,
entity-pair-063,microservices,microservices communication,CONCEPT,,,,,,
entity-pair-064,Role-Based Access Control,Token-based access control,METHOD,,,,,,
entity-pair-065,microservice scenario,microservices security,CONCEPT,,,,,,
entity-pair-066,proposed method,proposed methodology,METHOD,,,,,,
entity-pair-067,zero trust model,Zero Trust security model,CONCEPT,,,,,,
entity-pair-068,API gateway,gateway,TOOL,,,,,,
entity-pair-069,authentication protocols,Two-Factor Authentication,METHOD,,,,,,
entity-pair-070,Intrusion Detection,reliable intrusion detection,CONCEPT,,,,,,
entity-pair-071,federated identity management,identity and access management,METHOD,,,,,,
entity-pair-072,cloud-native microservices,microservices communication,CONCEPT,,,,,,
entity-pair-073,zero-trust access,Zero Trust principles,CONCEPT,,,,,,
entity-pair-074,threat detection,threat detection accuracy,METRIC,,,,,,
entity-pair-075,containerized microservices,modern containerized cloud microservices,CONCEPT,,,,,,
entity-pair-076,cloud-native security systems,cloud-native systems,CONCEPT,,,,,,
entity-pair-077,real-time data systems,real-time payment systems,CONCEPT,,,,,,
entity-pair-078,microservices,microservices-based environments,CONCEPT,,,,,,
entity-pair-079,microservices-based environments,multi-cloud microservices environments,CONCEPT,,,,,,
entity-pair-080,container environments,containerized environments,CONCEPT,,,,,,
entity-pair-081,anomaly-based intrusion detection,anomaly-based intrusion detection systems,METHOD,,,,,,
entity-pair-082,microservice scenario,securing microservices,CONCEPT,,,,,,
entity-pair-083,Kubernetes,three-node Kubernetes cluster,TOOL,,,,,,
entity-pair-084,Microservices framework,microservices architecture,METHOD,,,,,,
entity-pair-085,microservice security agent,Microservice Security Analysis,METHOD,,,,,,
entity-pair-086,proposed architectural framework,proposed architecture,METHOD,,,,,,
entity-pair-087,microservice-based applications,security of microservice applications,CONCEPT,,,,,,
entity-pair-088,Role-Based Access Control,Role-based Access Control Model (RBAC),METHOD,,,,,,
entity-pair-089,vulnerabilities,Security Vulnerabilities,CONCEPT,,,,,,
entity-pair-090,security discussions,security intrusions,CONCEPT,,,,,,
entity-pair-091,API Gateway,gateway,TOOL,,,,,,
entity-pair-092,securing microservices,microservice security analysis,CONCEPT,,,,,,
entity-pair-093,Open Banking Ecosystems,open banking ecosystems,CONCEPT,,,,,,
entity-pair-094,API gateway,AWS API Gateway,TOOL,,,,,,
entity-pair-095,microservice architecture of EHR systems,Microservices Architecture,METHOD,,,,,,
entity-pair-096,securing microservices,inter-service security in microservice architectures,CONCEPT,,,,,,
entity-pair-097,security attacks,security patterns,CONCEPT,,,,,,
entity-pair-098,cloud-native security systems,IoT Systems Security,CONCEPT,,,,,,
entity-pair-099,API Gateway,API-Gateway,TOOL,,,,,,
entity-pair-100,microservices architectures,serverless architectures,CONCEPT,,,,,,
entity-pair-101,access control,access control and authorization,CONCEPT,,,,,,
entity-pair-102,securing microservices,comprehensive research on microservices security vulnerabilities,CONCEPT,,,,,,
entity-pair-103,Microservice Security Analysis,methodology for designing and developing security microservices,METHOD,,,,,,
entity-pair-104,cloud architecture,cloud-native architectures,CONCEPT,,,,,,
entity-pair-105,detection accuracy,test accuracy,METRIC,,,,,,
entity-pair-106,.NET-based microservices,federated microservices,CONCEPT,,,,,,
entity-pair-107,zero trust,Zero Trust security principles,METHOD,,,,,,
entity-pair-108,detection accuracy,detection accuracy of 96.3%,METRIC,,,,,,
entity-pair-109,growing security challenges,security challenges,CONCEPT,,,,,,
entity-pair-110,autoencoders,Autoencoder-based models,METHOD,,,,,,
entity-pair-111,IoT Systems,IoT Systems Security,CONCEPT,,,,,,
entity-pair-112,Microservices framework,microservices technology,METHOD,,,,,,
entity-pair-113,cyber-security attacks,security attacks,CONCEPT,,,,,,
entity-pair-114,Response Times,system response time,METRIC,,,,,,
entity-pair-115,API Gateway,AWS API Gateway,TOOL,,,,,,
entity-pair-116,securing microservices,microservices security,CONCEPT,,,,,,
entity-pair-117,micro-service containers,microservice challenges,CONCEPT,,,,,,
entity-pair-118,microservices environments,multi-cloud microservices environments,CONCEPT,,,,,,
entity-pair-119,Zero Trust controls,zero trust access control,METHOD,,,,,,
entity-pair-120,empirical validation,experimental validation,METHOD,,,,,,
entity-pair-121,intrusion detection,reliable intrusion detection,CONCEPT,,,,,,
entity-pair-122,microservice architecture of EHR systems,microservices-based architecture,METHOD,,,,,,
entity-pair-123,security patterns,security practices,CONCEPT,,,,,,
entity-pair-124,microservices,SDN-microservices environments,CONCEPT,,,,,,
entity-pair-125,deep reinforcement learning,reinforcement learning algorithms,METHOD,,,,,,
entity-pair-126,machine learning,Machine Learning,METHOD,,,,,,
entity-pair-127,micro-service containers,containerized microservices,CONCEPT,,,,,,
entity-pair-128,securing microservices,security of microservice systems,CONCEPT,,,,,,
entity-pair-129,centralized entity,Decentralized Identity,CONCEPT,,,,,,
entity-pair-130,containers,Linux containers,TOOL,,,,,,
entity-pair-131,securing microservices,Security issues in microservices systems,CONCEPT,,,,,,
entity-pair-132,layered security model,multi-layer security model,METHOD,,,,,,
entity-pair-133,IoT applications,monolithic applications,CONCEPT,,,,,,
entity-pair-134,microservice architecture of EHR systems,microservices architecture,METHOD,,,,,,
entity-pair-135,securing microservices,security of decentralized microservices,CONCEPT,,,,,,
entity-pair-136,securing microservices,security problems of the microservice architecture,CONCEPT,,,,,,
entity-pair-137,microservices,microservices-based systems,CONCEPT,,,,,,
entity-pair-138,zero-trust access,Zero Trust Security,CONCEPT,,,,,,
entity-pair-139,microservices,microservices architectures,CONCEPT,,,,,,
entity-pair-140,security challenges in cloud-native environments,security challenges in containerized environments,CONCEPT,,,,,,
entity-pair-141,API Gateway,API gateway,TOOL,,,,,,
entity-pair-142,cloud-native systems,cloud-native environment,CONCEPT,,,,,,
entity-pair-143,response time,average response time,METRIC,,,,,,
entity-pair-144,security challenges,complex security challenges,CONCEPT,,,,,,
entity-pair-145,Accuracy,accuracy,METRIC,,,,,,
entity-pair-146,microservice-based architecture optimization,microservices-based architecture,METHOD,,,,,,
entity-pair-147,Istio service mesh,service mesh,TOOL,,,,,,
entity-pair-148,defense effectiveness,detection effectiveness,METRIC,,,,,,
entity-pair-149,API-Gateway,AWS API Gateway,TOOL,,,,,,
entity-pair-150,hybrid machine learning model,machine learning models,METHOD,,,,,,
entity-pair-151,DoS attacks,DDoS attacks,CONCEPT,,,,,,
entity-pair-152,proposed framework,Proposed framework,METHOD,,,,,,
entity-pair-153,AI Microservices,Microservices framework,METHOD,,,,,,
entity-pair-154,threat modeling,automated threat modeling,METHOD,,,,,,
entity-pair-155,data security,security attacks,CONCEPT,,,,,,
entity-pair-156,anomaly detection,real-time anomaly detection,CONCEPT,,,,,,
entity-pair-157,runtime vulnerabilities,security vulnerabilities,CONCEPT,,,,,,
entity-pair-158,real-time threat detection,real-time threat detection and response,CONCEPT,,,,,,
entity-pair-159,scalability,usability,METRIC,,,,,,
entity-pair-160,Open Policy Agent (OPA),Open Policy Agent (OPA) Gatekeeper,TOOL,,,,,,
entity-pair-161,cloud-native environment,container environments,CONCEPT,,,,,,
entity-pair-162,refactoring,Refactoring,METHOD,,,,,,
entity-pair-163,microservice intrusion detection,reliable intrusion detection,CONCEPT,,,,,,
entity-pair-164,machine learning,machine learning techniques,METHOD,,,,,,
entity-pair-165,anomaly detection models,unsupervised anomaly detection model,METHOD,,,,,,
entity-pair-166,container security,cloud and container security,CONCEPT,,,,,,
entity-pair-167,Throughput,throughput,METRIC,,,,,,
entity-pair-168,microservices systems,security of microservice systems,CONCEPT,,,,,,
entity-pair-169,application security,IoT applications,CONCEPT,,,,,,
entity-pair-170,Kubernetes based microservices,Kubernetes Microservices System,CONCEPT,,,,,,
entity-pair-171,securing microservices,securing microservices within enterprise settings,CONCEPT,,,,,,
entity-pair-172,security challenges in cloud-native environments,security challenges in edge-native containerized environments,CONCEPT,,,,,,
entity-pair-173,Two-Factor Authentication,multi-factor authentication,METHOD,,,,,,
entity-pair-174,anomaly detection,security anomaly detection,CONCEPT,,,,,,
entity-pair-175,modern containerized cloud microservices,container cloud and microservice architectures,CONCEPT,,,,,,
entity-pair-176,API Security,data security,CONCEPT,,,,,,
entity-pair-177,cloud-native systems,cloud-native and distributed systems,CONCEPT,,,,,,
entity-pair-178,response time,system response time,METRIC,,,,,,
entity-pair-179,multi-cloud microservices environments,SDN-microservices environments,CONCEPT,,,,,,
entity-pair-180,lateral movement,lateral movement attacks,CONCEPT,,,,,,
entity-pair-181,OAuth 2.1 with PKCE,OpenID with OAuth 2.0,METHOD,,,,,,
entity-pair-182,securing microservices,microservice intrusion detection,CONCEPT,,,,,,
entity-pair-183,microservices,microservice architecture,CONCEPT,,,,,,
entity-pair-184,machine learning,Machine Learning techniques,METHOD,,,,,,
entity-pair-185,Microservices framework,microservices-based architecture,METHOD,,,,,,
entity-pair-186,cloud-native operational systems,cloud-native security systems,CONCEPT,,,,,,
entity-pair-187,machine learning algorithms,reinforcement learning algorithms,METHOD,,,,,,
entity-pair-188,threat detection,threat detection F1-score,METRIC,,,,,,
entity-pair-189,DevSecOps practices,DevSecOps methodologies,METHOD,,,,,,
entity-pair-190,authentication mechanisms for microservices,secure authentication mechanism,CONCEPT,,,,,,
entity-pair-191,API gateway security,API gateway security mechanism,METHOD,,,,,,
entity-pair-192,deep neural network,Graph Neural Networks,METHOD,,,,,,
entity-pair-193,attribute-based access control,Attribute-Based Access Control,METHOD,,,,,,
entity-pair-194,container security,security concerns,CONCEPT,,,,,,
entity-pair-195,securing microservices,security risks of microservices,CONCEPT,,,,,,
entity-pair-196,detection precision,detection rates,METRIC,,,,,,
entity-pair-197,cloud-native operational systems,cloud-native systems,CONCEPT,,,,,,
entity-pair-198,Extended Berkeley Packet Filter,extended Berkeley Packet Filter (eBPF),TOOL,,,,,,
entity-pair-199,cloud and container environments,container environments,CONCEPT,,,,,,
entity-pair-200,zero-trust access,zero-trust principles,CONCEPT,,,,,,
